NDUFS4	Hepatic necrosis	
CXCR2	Hepatic necrosis	
NDUFAF2	Hepatic necrosis	
NDUFA2	Hepatic necrosis	
TGFA	Hepatic necrosis	
NDUFA12	Hepatic necrosis	
HADH	Hepatic necrosis	
NDUFA10	Hepatic necrosis	
FPR1	Hepatic necrosis	
CYP3A4	Hepatic necrosis	
CNR2	Hepatic necrosis	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PRSS3	0.8638247395845513	
OPRM1	HTR1F	0.8354005520686607	
OPRM1	PTGER3	0.8252219011119977	
rs429358	TOMM40	0.829786598184209	
MT-ND1	NDUFA5	0.8433517079273392	
MT-ND1	NDUFA2	0.8433517079273392	
MT-ND1	NDUFB3	0.8433517079273392	
CYP3A4	rs4987161	0.99	
GRIA1	COL7A1	0.8580060915991022	
CYP3A	rs4987161	0.8953382542587163	
OPRD1	SSTR2	0.8354005520686607	
OPRK1	NMUR2	0.8421959353175904	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CEP44	0.8638247395845513	
Sevoflurane	GLRA1	1	
Hydrocodone	CYP3A4	1	
OPRK1	CCL25	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DCD	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
OPRK1	TAS2R13	0.8354005520686607	
CYP3A4	rs4986910	0.9135172474836407	
OPRK1	C5	0.8407682499807351	
OPRK1	HTR5A	0.8354005520686607	
OPRK1	GABBR2	0.8252219011119977	
OPRK1	GRM4	0.8252219011119977	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
GRIA1	TRAPPC5	0.8526462282435747	
OPRM1	P2RY13	0.8354005520686607	
OPRK1	C3	0.8407682499807351	
OPRK1	TAS2R19	0.8354005520686607	
OPRD1	CORT	0.8407682499807351	
CYP3A4	rs4986910	0.99	
NPHS1	rs3814995	0.8551864921887058	
OPRK1	SSTR3	0.8354005520686607	
CYP2B6	rs12721646	0.99	
CYP2E1	rs2031920	0.99	
OPRM1	SSTR5	0.8354005520686607	
OPRD1	CXCL16	0.8407682499807351	
OPRM1	CCR10	0.8354005520686607	
GRIA1	MCFD2	0.8580060915991022	
OPRK1	CCL28	0.8407682499807351	
GRIA1	FOLR1	0.8580060915991022	
ATP5D	MT-ATP6	0.8294526363440686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TSC22D1	0.8638247395845513	
ATP5D	ATP5O	0.8294526363440686	
CYP3A4	rs4646440	0.9135172474836407	
OPRM1	PPY	0.833320481754769	
OPRK1	NMUR1	0.8354005520686607	
OPRK1	CXCL11	0.8407682499807351	
OPRM1	PMCH	0.8407682499807351	
CYP2B6	rs4803419	0.99	
CYP2B6	rs2279345	0.99	
OPRM1	PNOC	0.8407682499807351	
MT-ND1	NDUFB4	0.8433517079273392	
GRIA1	SEC23A	0.8610963123912945	
OPRK1	TAS2R14	0.8354005520686607	
OPRD1	CCR1	0.8354005520686607	
GABRA1	rs2290732	0.99	
OPRK1	TAS2R1	0.8354005520686607	
OPRK1	CXCL13	0.8407682499807351	
OPRM1	NPY5R	0.8252219011119977	
OPRM1	CCL5	0.8407682499807351	
MT-ND1	NDUFC2	0.8433517079273392	
CYP3A4	rs2740574	0.9509900498999999	
MT-ND1	TMEM126B	0.8484307441293273	
CYP2D6	CYP2D6*1, CYP2D6*15, CYP2D6*4	0.99	
OPRM1	GRM8	0.8252219011119977	
MT-ND1	NDUFA1	0.8433517079273392	
MT-ND1	NDUFA11	0.8433517079273392	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLAG1	0.8638247395845513	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.9509900498999999	
GRIA1	SEC31A	0.857962761909534	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
GRIA1	TRAPPC4	0.8526462282435747	
CYP2B6	rs2054675	0.99	
OPRD1	rs4654327	0.99	
OPRM1	OXGR1	0.8354005520686607	
OPRM1	CXCR1	0.8354005520686607	
OPRK1	CXCL12	0.8407682499807351	
OPRM1	TAS2R7	0.8354005520686607	
OPRM1	C3AR1	0.8354005520686607	
OPRK1	OXGR1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	QTRTD1	0.8638247395845513	
CYP2D6	rs367543000	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
CYP2D6	rs750996195	0.99	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
CYP3A4	rs35599367	0.9135172474836407	
OPRM1	GABBR1	0.8252219011119977	
GRIA1	GRIA4	0.8555486660076597	
CYP3A4	rs35599367	0.99	
OPRD1	CASR	0.8354005520686607	
OPRK1	C5AR1	0.8354005520686607	
OPRD1	CCL19	0.8407682499807351	
OPRD1	LPAR2	0.8252219011119977	
OPRM1	CCR6	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITGB5	0.8638247395845513	
MT-ND1	NDUFAF1	0.8484307441293273	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*5	0.99	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.99	
CYP3A4	rs2246709	0.99	
OPRM1	MTNR1A	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.8638247395845513	
OPRM1	rs2075572	0.99	
OPRD1	TAS2R16	0.8354005520686607	
MT-ND1	NDUFA7	0.8433517079273392	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC1	0.8638247395845513	
OPRD1	GNAI3	0.8526462282435747	
OPRK1	MTNR1B	0.8252219011119977	
CYP2D6	CYP2D6*1, CYP2D6*4	0.99	
OPRK1	GAL	0.833320481754769	
OPRD1	OXER1	0.8252219011119977	
rs7412	APOE	0.8132738448803432	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC2	0.8638247395845513	
CYP3A4	MGST2	0.792109822701367	
OPRD1	SUCNR1	0.8354005520686607	
OPRD1	TAS2R14	0.8354005520686607	
OPRK1	AGT	0.8407682499807351	
OPRD1	TAS2R50	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DMD	0.8638247395845513	
MT-ND1	NDUFB5	0.8433517079273392	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GRAP2	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
OPRK1	LPAR5	0.8252219011119977	
OPRK1	CXCL6	0.8459813396079446	
GRIA1	GRIP2	0.8392126544448786	
MT-ND1	MT-ND5	0.8370620429147057	
OPRK1	CXCR6	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TIAM1	0.8638247395845513	
OPRK1	SSTR4	0.8354005520686607	
MT-ND1	MT-ND4	0.8370620429147057	
GRIA1	SEC24C	0.8619307007599862	
OPRK1	DRD3	0.8354005520686607	
CYP3A4	rs4987161	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CST3	0.8638247395845513	
OPRK1	ADRA2A	0.8252219011119977	
MT-ND1	NDUFA3	0.8433517079273392	
OPRD1	CXCR3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AMPD3	0.8638247395845513	
OPRD1	PENK	0.8436671950788296	
OPRD1	AGTR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.8638247395845513	
MT-ND1	NDUFB11	0.8433517079273392	
OPRD1	GNB1	0.8526462282435747	
OPRM1	CCL16	0.8407682499807351	
OPRD1	GNAI2	0.8526462282435747	
rs7412	APOE	0.8466346272668187	
OPRD1	GAL	0.833320481754769	
CYP3A4	rs2246709	0.9509900498999999	
CYP2B6	CYP2B6*1, CYP2B6*6	0.99	
OPRD1	P2RY12	0.8354005520686607	
OPRM1	PF4	0.8407682499807351	
OPRM1	LPAR3	0.8252219011119977	
OPRK1	RLN3	0.8459813396079446	
OPRD1	GPR18	0.8354005520686607	
OPRD1	TAS2R9	0.8354005520686607	
ATP5D	ATP5F1	0.8294526363440686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	refseq:NP_001914	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*4, CYP2D6*5	0.99	
OPRM1	TAS2R41	0.8354005520686607	
OPRD1	OXGR1	0.8354005520686607	
OPRD1	GPER1	0.8354005520686607	
OPRK1	SSTR1	0.8354005520686607	
OPRD1	CXCR5	0.8354005520686607	
CYP3A4	rs28371759	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDE4B	0.8638247395845513	
OPRK1	TAS2R30	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA1	0.8638247395845513	
OPRM1	GAL	0.833320481754769	
OPRK1	CCL16	0.8407682499807351	
OPRK1	ACKR3	0.8354005520686607	
CYP2B6	rs7254579	0.99	
OPRM1	CCR5	0.8354005520686607	
OPRM1	GNAT3	0.864131010283043	
OPRM1	GNAT1	0.8561119909626079	
OPRM1	TAS2R19	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
CYP2D6	CYP2D6*1, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
CYP2A6	rs8192725	0.99	
OPRD1	TAS2R31	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*4	0.8775210229989678	
OPRM1	TAS2R46	0.8354005520686607	
OPRD1	GRM8	0.8252219011119977	
OPRM1	LPAR1	0.8252219011119977	
CYP3A4	CYP3A4*1, CYP3A4*22	0.8775210229989678	
OPRD1	BDKRB2	0.8354005520686607	
CYP3A4	rs56324128	0.8775210229989678	
rs2740574	CYP3A	0.9414801494009999	
OPRM1	RXFP4	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9509900498999999	
OPRK1	ADORA3	0.8354005520686607	
OPRM1	GPER1	0.8354005520686607	
OPRD1	CCL20	0.8407682499807351	
Hydrocodone	CYP2D6	1	
OPRD1	P2RY4	0.8354005520686607	
OPRD1	MCHR1	0.8354005520686607	
OPRM1	CXCL16	0.8407682499807351	
OPRK1	NPY	0.833320481754769	
OPRK1	CCL5	0.8407682499807351	
OPRD1	CXCR2	0.8354005520686607	
GRIA1	TFG	0.8441288359160942	
OPRK1	TAS2R5	0.8354005520686607	
MT-ND1	NDUFS1	0.8370620429147057	
GRIA1	PRKCA	0.833320481754769	
OPRK1	PNOC	0.8407682499807351	
OPRM1	APP	0.8407682499807351	
OPRM1	CNR1	0.8354005520686607	
CYP2B6	rs2279343	0.99	
OPRM1	TAS2R50	0.8354005520686607	
OPRK1	CHRM4	0.8354005520686607	
OPRK1	OXER1	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC3	0.8638247395845513	
ATP5D	ATP5H	0.8294526363440686	
OPRD1	DRD4	0.8354005520686607	
CYP2D6	rs5030655	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP1M1	0.8638247395845513	
OPRM1	SSTR3	0.8354005520686607	
OPRD1	HRH4	0.8354005520686607	
CYP2D6	rs1065852	0.99	
OPRM1	rs510769	0.99	
OPRM1	TAS2R40	0.8354005520686607	
OPRK1	CXCL8	0.8459813396079446	
ATP5D	ATP5C1	0.8310189406311155	
OPRM1	OXER1	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CAMTA1	0.8638247395845513	
OPRM1	GALR2	0.8252219011119977	
CYP2D6	rs777560972	0.99	
OPRM1	C5	0.8407682499807351	
OPRD1	GALR3	0.8252219011119977	
OPRK1	CXCL10	0.8407682499807351	
OPRD1	CXCL2	0.8407682499807351	
OPRD1	CCL23	0.8407682499807351	
CYP2B6	rs36118214	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPAST	0.8638247395845513	
OPRM1	NPB	0.8407682499807351	
OPRM1	GNAZ	0.8590892466877382	
OPRM1	TAS2R42	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PEG3	0.8638247395845513	
OPRD1	HTR1A	0.8354005520686607	
OPRM1	OPRM1	0.855009540709891	
OPRM1	NPY1R	0.8252219011119977	
CYP2A6	rs111033610	0.99	
OPRK1	P2RY14	0.8354005520686607	
OPRK1	CCR3	0.8354005520686607	
OPRK1	GNG2	0.8526462282435747	
GRIA1	STX5	0.860155337427376	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GCN1L1	0.8638247395845513	
OPRK1	GRM6	0.8252219011119977	
OPRK1	MCHR2	0.8354005520686607	
OPRD1	ADORA1	0.8354005520686607	
CYP3A4	rs4646437	0.99	
OPRM1	SSTR4	0.8354005520686607	
CYP3A4	rs3735451	0.99	
OPRK1	TAS2R45	0.8354005520686607	
OPRK1	TAS2R46	0.8354005520686607	
MT-ND1	ACAD9	0.8484307441293273	
OPRK1	CCL27	0.8407682499807351	
OPRK1	C3AR1	0.8354005520686607	
OPRK1	S1PR1	0.8252219011119977	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*4xN, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.8638247395845513	
OPRK1	S1PR2	0.8252219011119977	
OPRD1	CCL21	0.8407682499807351	
CYP2D6	rs745746329	0.99	
OPRD1	S1PR2	0.8252219011119977	
OPRM1	TAS2R30	0.8354005520686607	
MT-ND1	MT-ND6	0.8478585989808651	
OPRD1	MTNR1A	0.8252219011119977	
OPRK1	NMS	0.8407682499807351	
OPRD1	rs581111	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
OPRM1	NMU	0.8407682499807351	
GRIA1	CNIH3	0.8613624031789913	
GRIA1	TGFA	0.8580060915991022	
OPRK1	CXCL2	0.8407682499807351	
CYP2A6	rs376817657	0.99	
OPRK1	GRM8	0.8252219011119977	
OPRD1	TAS2R7	0.8354005520686607	
OPRK1	FPR1	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*4	0.99	
OPRM1	TAS2R20	0.8354005520686607	
CYP3A4	rs2246709	0.9135172474836407	
OPRK1	LPAR3	0.8252219011119977	
CYP2B6	rs28399499	0.99	
OPRK1	HTR1A	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFD	0.8638247395845513	
OPRK1	NPY2R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.8638247395845513	
OPRM1	TAS2R5	0.8354005520686607	
OPRM1	CCL25	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FAM71E2	0.8638247395845513	
CYP2D6	rs567606867	0.99	
OPRM1	ADRA2A	0.8252219011119977	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
OPRD1	HCAR2	0.8354005520686607	
GRIA1	RAB1A	0.850491991613676	
OPRM1	CXCL12	0.8407682499807351	
OPRD1	HTR1D	0.8354005520686607	
OPRD1	CCR9	0.8354005520686607	
OPRK1	BDKRB1	0.8354005520686607	
CYP3A4	rs2242480	0.9509900498999999	
CYP2B6	CYP2B6*1, CYP2B6*5	0.99	
OPRK1	CORT	0.8407682499807351	
ATP5D	ATP5S	0.8294526363440686	
Desflurane	GLRA1	1	
OPRK1	CCL20	0.8407682499807351	
Sevoflurane	CYP2B6	1	
MT-ND1	NDUFB10	0.8433517079273392	
OPRD1	OPRL1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SGOL2	0.8638247395845513	
OPRM1	PTGDR2	0.8252219011119977	
OPRD1	TAS2R60	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CABLES1	0.8638247395845513	
OPRK1	CXCR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.9111202792312738	
OPRD1	NMU	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTN	0.8638247395845513	
OPRD1	TAS2R45	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.8775210229989678	
OPRM1	MTNR1B	0.8252219011119977	
CYP2B6	rs3211371	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCAF1	0.8638247395845513	
APOE	APOE E2, APOE E3, APOE E4	0.8051411064315397	
ATP5D	ATP5G3	0.8294526363440686	
OPRK1	HCAR2	0.8354005520686607	
CYP2D6	rs3892097	0.99	
OPRK1	S1PR4	0.8252219011119977	
OPRD1	TAS2R19	0.8354005520686607	
OPRD1	CCR2	0.8354005520686607	
OPRD1	CXCR1	0.8354005520686607	
OPRM1	POMC	0.8611505155370949	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT10	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10	0.99	
OPRK1	TAS2R20	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CROT	0.8638247395845513	
OPRD1	RLN3	0.8459813396079446	
OPRM1	CXCR4	0.8354005520686607	
OPRM1	TAS2R10	0.8354005520686607	
OPRD1	TAS2R3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.8638247395845513	
OPRD1	INSL5	0.8407682499807351	
OPRD1	ADRA2A	0.8252219011119977	
OPRD1	HCAR3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA0232	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FN1	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*18, CYP2D6*2, CYP2D6*21, CYP2D6*44, CYP2D6*5	0.99	
OPRD1	CCR3	0.8354005520686607	
OPRK1	CXCR5	0.8354005520686607	
OPRD1	SSTR1	0.8354005520686607	
OPRD1	P2RY14	0.8354005520686607	
MT-ND1	NDUFAF2	0.8381680014777021	
OPRM1	NPBWR2	0.8354005520686607	
CYP2D6	CYP2D6*10, CYP2D6*2	0.99	
OPRM1	GNAI2	0.864131010283043	
GRIA1	LMAN1	0.8580060915991022	
CYP2A6	rs143690364	0.99	
OPRK1	GNAI2	0.8526462282435747	
OPRM1	CCR8	0.8354005520686607	
OPRM1	ANXA1	0.8459813396079446	
MT-ND1	NDUFAB1	0.8433517079273392	
OPRD1	FPR2	0.8354005520686607	
OPRM1	TAS2R43	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.8638247395845513	
rs4987161	CYP3A	0.9801	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.8638247395845513	
CYP2B6	CYP2B6*1, CYP2B6*18, CYP2B6*2, CYP2B6*22, CYP2B6*4, CYP2B6*5, CYP2B6*6	0.99	
OPRK1	TAS2R42	0.8354005520686607	
OPRD1	APLNR	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.8775210229989678	
OPRK1	CCR1	0.8354005520686607	
OPRD1	NPY1R	0.8252219011119977	
OPRM1	MT-RNR2	0.8459813396079446	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPATA31A7	0.8638247395845513	
OPRK1	CASR	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
OPRM1	PPBP	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PHC3	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NLRC4	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SACS	0.8638247395845513	
OPRD1	GALR2	0.8252219011119977	
CYP2B6	rs35303484	0.99	
OPRM1	rs1799971	0.99	
GRIA1	TRAPPC1	0.8526462282435747	
GRIA1	TRAPPC2L	0.8526462282435747	
rs12721627	CYP3A4	0.92274469442792	
OPRD1	LPAR1	0.8252219011119977	
OPRM1	HCAR3	0.8354005520686607	
OPRK1	CNR2	0.8354005520686607	
GABRA1	rs2279020	0.99	
GRIA1	CTSC	0.8580060915991022	
CYP3A4	rs3735451	0.9135172474836407	
CYP3A4	rs4646437	0.9135172474836407	
CYP3A4	rs35599367	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT5	0.8638247395845513	
OPRK1	APLN	0.8407682499807351	
OPRD1	BDKRB1	0.8354005520686607	
OPRD1	GNAI1	0.8526462282435747	
CYP3A4	rs4646440	0.99	
OPRD1	MT-RNR2	0.8459813396079446	
Hydrocodone	OPRM1	1	
OPRD1	S1PR4	0.8252219011119977	
OPRM1	CXCL8	0.8459813396079446	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DGKG	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TLN2	0.8638247395845513	
OPRM1	rs558025	0.99	
rs4987161	CYP3A4	0.8863848717161291	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	MYLK3	0.8638247395845513	
MT-ND1	MT-ND3	0.8478585989808651	
CYP3A4	rs2242480	0.99	
OPRK1	TAS2R10	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SERPING1	0.8638247395845513	
OPRK1	CXCR4	0.8354005520686607	
MT-ND1	NDUFB2	0.8433517079273392	
GRIA1	CTSZ	0.8580060915991022	
OPRK1	MTNR1A	0.8252219011119977	
CYP2D6	rs1080985	0.99	
OPRM1	CXCL1	0.8407682499807351	
rs429358	APOC1	0.829786598184209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6B	0.8638247395845513	
CYP3A	rs2740574	0.9320653479069899	
GRIA1	SEC24D	0.8619307007599862	
CYP2A6	rs28399468	0.99	
CYP3A4	rs35599367	0.9509900498999999	
OPRD1	FPR3	0.8354005520686607	
OPRK1	TAS2R4	0.8354005520686607	
CYP3A	rs2740574	0.9702989999999999	
OPRK1	SSTR2	0.8354005520686607	
OPRM1	PENK	0.8436671950788296	
CXCL12	rs1801157	0.8323605674809277	
OPRM1	NPY	0.833320481754769	
APOE	rs429358	0.8381682809941505	
OPRM1	S1PR3	0.8252219011119977	
ATP5D	ATP5A1	0.8310189406311155	
GRIA1	TRAPPC9	0.8526462282435747	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	EXOC6	0.8638247395845513	
OPRM1	GNAI1	0.864131010283043	
OPRD1	HCAR1	0.8354005520686607	
ATP5D	ATP5B	0.8310189406311155	
OPRM1	P2RY12	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT13	0.8638247395845513	
CYP2B6	rs58425034	0.99	
OPRM1	GRM6	0.8252219011119977	
OPRM1	GNAO1	0.8561119909626079	
OPRM1	HTR1B	0.8354005520686607	
CYP3A4	MGST3	0.792109822701367	
