STAT3	Interstitial lung and liver disease	
CCR8	airway disease	
CCR1	airway disease	
VEGFA	stage, non-small cell lung cancer	
IFNG	Interstitial lung and liver disease	
CXCR4	airway disease	
CSF2	stage, non-small cell lung cancer	
IL2RA	Interstitial lung and liver disease	
AKT1	stage, non-small cell lung cancer	
C3	airway disease	
CCR3	airway disease	
CXCR2	airway disease	
IL4	Interstitial lung and liver disease	
EGFR	stage, non-small cell lung cancer	
CCR4	airway disease	
KRAS	stage, non-small cell lung cancer	
CCL5	airway disease	
PTGDR2	airway disease	
CXCL8	airway disease	
ERBB2	stage, non-small cell lung cancer	
FGFR1	stage, non-small cell lung cancer	
TAS2R38	airway disease	
CYP2D6	CYP2D6*1, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
HCAR3	CCR1	0.8354005520686607	
FGF2	FGF17	0.8711133509521624	
EGFR	CAMK2A	0.8435102388865442	
ERBB4	NCSTN	0.8505864487536049	
FGF1	TRAT1	0.853898073011433	
FGF1	FGF18	0.8708774311848432	
PTK6	PTK6	0.8687679411319893	
ERBB4	RANBP9	0.8281207788973212	
HCAR2	LPAR5	0.8252219011119977	
UGT1A1	rs1042640	0.8775210229989678	
ERBB4	NRG2	0.8688963772014661	
P2RY12	GNAI2	0.8632667287580127	
UGT1A1	UGT1A1*1, UGT1A1*28	0.99	
KIT	FRS2	0.8610963123912945	
UGT1A8	rs6759892	0.8775210229989678	
MET	FGF3	0.857607030791991	
HCAR2	APP	0.8407682499807351	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3, CYP2C9*5, CYP2C9*6, CYP2C9*8	0.99	
JAK2	STAT1	0.8673180881471152	
CYP3A5	rs17161788	0.99	
FGF2	JAK1	0.853898073011433	
ERBB4	APH1A	0.8505864487536049	
MET	FGF6	0.8619307007599862	
ERBB2	CSF2RA	0.8281207788973212	
MET	ARTN	0.8372883840480309	
ABCG2	rs12505410	0.99	
UGT1A	rs10929303	0.9702989999999999	
FCGR3A	IGHV3-9	0.8631759289499149	
FCGR3A	V5-6	0.8631759289499149	
FCGR2A	IGHV3-9	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP1M1	0.8638247395845513	
ERBB2	PTPN11	0.847975029345742	
CYP2D6	rs5030655	0.99	
UGT1A	rs1042640	0.9702989999999999	
VEGFA	CRK	0.8433517079273392	
ERBB2	TEK	0.8281207788973212	
FCGR1A	IGLC1	0.8622716890165686	
ERBB2	CAMK2G	0.8281207788973212	
P2RY12	TAS2R3	0.8354005520686607	
EGFR	RET	0.847975029345742	
EGFR	FGF23	0.8658423074095727	
P2RY12	CCR10	0.8354005520686607	
CYP2D6	rs1065852	0.99	
MTOR	PRKAB1	0.849809014912932	
EGFR	STAM2	0.8665370616181098	
MET	GFRA2	0.8372883840480309	
EGFR	REPS1	0.8658049874828022	
HCAR3	CCL20	0.8407682499807351	
EGFR	AP2A2	0.8664242982340606	
HCAR3	TAS2R50	0.8354005520686607	
FCGR1A	IGHG4	0.8614909610942352	
FGF1	CAMK2G	0.853898073011433	
ERBB2	RET	0.8372883840480309	
MET	SH3KBP1	0.8468891025876341	
HCAR3	GNAI2	0.8526462282435747	
JAK2	STAT3	0.8676723980099379	
APOB	rs1801701	0.8542055322677212	
HCAR3	CCR4	0.8354005520686607	
FGF2	CD19	0.8513157657742707	
PDGFRB	PIK3CA	0.8656414349454913	
HCAR2	CXCL10	0.8407682499807351	
JAK2	IL13RA1	0.8541037391936209	
EGFR	EPN2	0.8634258189159196	
TEK	HRAS	0.852724204446584	
ITK	VAV2	0.8545673917919406	
UGT1A1	rs887829	0.9135172474836407	
CYP2D6	rs745746329	0.99	
FCGR3A	V1-11	0.8631759289499149	
FCGR3A	IGHV3-30	0.8631759289499149	
Trastuzumab Emtansine	ERBB2	1	
EGFR	SPTBN1	0.8435102388865442	
IFNG	rs2430561	0.8517396089674385	
EGFR	ARPC2	0.8628338709774962	
EGFR	rs11568315	0.99	
HCAR3	SAA1	0.8407682499807351	
UGT1A9	rs3806598	0.9509900498999999	
ERBB2	RHOA	0.8441288359160942	
FCGR3A	IGHV4-34	0.8631759289499149	
FGF2	GDNF	0.855946747881349	
MTOR	LAMTOR3	0.860731353523066	
EGFR	SGIP1	0.8658049874828022	
CES1	rs8192935	0.99	
ABCB1	rs7787082	0.99	
JAK1	IL5	0.8281207788973212	
P2RY12	SSTR3	0.8354005520686607	
ERBB4	NEFL	0.8281207788973212	
CYP2B6	rs28399499	0.99	
ABCC1	rs28364006	0.99	
HCAR2	PTGER3	0.8252219011119977	
ABCB1	rs4148740	0.99	
EGFR	FGF3	0.8619307007599862	
FGF1	GRIN2A	0.853898073011433	
ERBB2	CAMK2B	0.8281207788973212	
UGT1A1	UGT1A1*1, UGT1A1*28	0.9135172474836407	
UGT1A7	rs17863778	0.8775210229989678	
CYP2D6	rs567606867	0.99	
ERBB2	rs1136201	0.99	
ABCB1	rs10276036	0.99	
VEGFA	HSP90AA1	0.8625501908282859	
CYP3A4	rs2242480	0.9509900498999999	
PDGFRA	PDGFB	0.8693544416020658	
KIT	GRB10	0.7989062580087279	
IFNGR2	IFNG	0.860343039361049	
P2RY12	CCR2	0.8354005520686607	
HCAR2	CCR5	0.8354005520686607	
HCAR2	CCL21	0.8407682499807351	
PDGFRA	GRB2	0.8688939580810102	
CYP1A2	rs72547517	0.99	
EGFR	SOS1	0.8700025940714176	
JAK1	IFNA5	0.8622496297868503	
HCAR2	CCR4	0.8354005520686607	
P2RY12	INSL5	0.8407682499807351	
JAK2	GHR	0.8660919538865761	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTN	0.8638247395845513	
FGF2	HBEGF	0.8655209368590407	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.8775210229989678	
KDR	FYN	0.8587848464414376	
HCAR2	NPY5R	0.8252219011119977	
CYP2D6	rs3892097	0.99	
KDR	PTK2	0.8662260734280781	
HCAR2	MTNR1B	0.8252219011119977	
EGFR	KIAA0319	0.8628338709774962	
ERBB4	GDNF	0.8372883840480309	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10	0.99	
HCAR3	CCL25	0.8407682499807351	
P2RY12	HCAR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.8638247395845513	
MTOR	ULK1	0.851577718501957	
HCAR3	GALR3	0.8252219011119977	
EGFR	WASL	0.8628338709774962	
P2RY12	LPAR3	0.8252219011119977	
JAK1	LIFR	0.8111510027898975	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FN1	0.8638247395845513	
JAK1	CSF2	0.8281207788973212	
FGF1	IRS2	0.8638403979636339	
ERBB2	FRS3	0.847975029345742	
UGT1A9	rs6759892	0.8600583546412883	
ERBB2	HGF	0.853898073011433	
KDR	NCK1	0.8570412853760152	
P2RY12	NPY	0.833320481754769	
CYP2B6	CYP2B6*1, CYP2B6*18, CYP2B6*2, CYP2B6*22, CYP2B6*4, CYP2B6*5, CYP2B6*6	0.99	
Panitumumab	EGFR	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.8638247395845513	
PDGFRA	FGFR1	0.8435102388865442	
FCGR3A	IGLV7-43	0.8631759289499149	
rs4987161	CYP3A	0.9801	
FCGR3A	IGLV3-19	0.8631759289499149	
ERBB4	FGF22	0.8601235081501506	
FGF2	RPS27A	0.8496066018949794	
JAK2	IL5	0.865097443947573	
KIT	KIT	0.867034484166376	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PHC3	0.8638247395845513	
rs6759892	UGT1A9	0.8687458127689781	
MTOR	MLST8	0.8611505155370949	
JAK2	PTPN6	0.8587458633585864	
CYP1A2	rs2470890	0.99	
FGF2	FGFR1	0.8702045334767963	
CYP19A1	rs4646	0.99	
FCGR3A	IGHV1-69	0.8631759289499149	
UGT1A9	rs58597806	0.8953382542587163	
rs4987161	CYP3A4	0.8863848717161291	
EGFR	NRG2	0.8690931465161327	
CYP3A4	rs2242480	0.99	
JAK1	PTPN11	0.8447236169788426	
JAK2	KITLG	0.8568934182658772	
HCAR2	ADORA3	0.8354005520686607	
ERBB4	NCOR1	0.8277761371930282	
FCGR1A	VAV2	0.8468891025876341	
UGT1A	rs11563250	0.9320653479069899	
ERBB2	MATK	0.7983096722548423	
P2RY12	rs6787801	0.99	
FCGR2A	IGHV4-34	0.8622716890165686	
Clopidogrel	CYP2C9	1	
APOE	rs429358	0.8381682809941505	
P2RY12	MTNR1B	0.8252219011119977	
FCGR3A	IGLV3-1	0.8631759289499149	
FGFR3	RET	0.8281207788973212	
CYP2C9	rs1057910	0.99	
FCGR1A	FCGR1A	0.8613363396709319	
FCGR3A	V2-11	0.8631759289499149	
SLCO1B1	rs113681054	0.99	
FGF1	GRIN1	0.853898073011433	
FGF2	FRS3	0.8696491071102892	
FCGR1A	V1-5	0.8622716890165686	
FCGR1A	P0CG05	0.8622716890165686	
HCAR2	FPR1	0.8354005520686607	
EGFR	CBL	0.8694157245827837	
EGFR	EPN1	0.8671306900274336	
Vandetanib	PTK6	1	
Trastuzumab	CYP19A1	1	
ERBB4	PDGFA	0.847975029345742	
FCGR2A	V5-1	0.8622716890165686	
EGFR	FNBP1L	0.863443159858049	
ERBB2	RASGRF1	0.8281207788973212	
FGF2	SPTBN4	0.853898073011433	
rs10929303	UGT1A	0.9414801494009999	
ERBB2	HRAS	0.8611234767592315	
PDGFRB	FRS2	0.8610963123912945	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
FGF2	FGF10	0.8705196260072451	
EGFR	CAMK2D	0.8435102388865442	
KIT	FGFR4	0.8435102388865442	
FCGR2A	IGLC1	0.8622716890165686	
FGF1	SHC3	0.8513157657742707	
EGFR	SYNJ1	0.8613363396709319	
UGT1A1	rs8330	0.9135172474836407	
UGT1A1	rs8330	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*29, CYP2D6*3, CYP2D6*31, CYP2D6*35, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6, CYP2D6*9	0.99	
HCAR3	HTR5A	0.8354005520686607	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*2, CYP2C9*3	0.99	
CYP3A4	rs4986910	0.9509900498999999	
VEGFA	rs35864111	0.99	
FGF1	PTPRA	0.853898073011433	
HCAR2	OXGR1	0.8354005520686607	
EGFR	GPNMB	0.8497082254156562	
MET	FGF4	0.8643329280224298	
EGFR	JAK2	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CNOT1	0.8638247395845513	
FGF1	CAMK2B	0.853898073011433	
ERBB4	UBC	0.8363668711578376	
EGFR	SHC1	0.8690126478566949	
ERBB4	IL5RA	0.8281207788973212	
HCAR3	TAS2R3	0.8354005520686607	
HCAR3	FPR1	0.8354005520686607	
ERBB2	IL2RB	0.8281207788973212	
HCAR2	GRM8	0.8252219011119977	
CYP3A4	rs4646437	0.9509900498999999	
ERBB2	EGFR	0.8699581403276919	
ERBB4	CSF2RA	0.8281207788973212	
CYP1A2	CYP1A2*1A, CYP1A2*1F	0.99	
ERBB2	PDGFA	0.8513157657742707	
HCAR3	FPR2	0.8354005520686607	
FCGR1A	V1-13	0.8622716890165686	
IRS1	rs13431554	0.8453590922813186	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFH	0.8638247395845513	
ERBB2	IL5	0.8281207788973212	
KIT	KITLG	0.8677596750953283	
JAK1	INPP5D	0.7989062580087279	
CYP3A4	rs12721627	0.99	
EGFR	SNX9	0.863443159858049	
ERBB4	TEK	0.8281207788973212	
Tofacitinib	JAK2	1	
KDR	CRK	0.8433517079273392	
KDR	RHOA	0.8252219011119977	
P2RY12	TAS2R45	0.8354005520686607	
FCGR2A	P80362	0.8622716890165686	
P2RY12	ADRA2C	0.8252219011119977	
KIT	FGF6	0.8610963123912945	
MET	NEFL	0.8281207788973212	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.8638247395845513	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B, SLCO1B1*5	0.99	
FGF1	FGF17	0.8711387031818277	
P2RY12	C3	0.8407682499807351	
FCGR1A	IGHV3-7	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA2	0.8638247395845513	
FCGR2A	IGHV3-53	0.8622716890165686	
P2RY12	ANXA1	0.8459813396079446	
PDGFRB	NRG1	0.8513157657742707	
EGFR	PDGFA	0.853898073011433	
PDGFRB	FGF9	0.8638403979636339	
HCAR2	CCL28	0.8407682499807351	
Pazopanib	ABCB1	1	
ABCB1	rs2229109	0.99	
P2RY12	PENK	0.8407682499807351	
JAK1	CSF2RB	0.8281207788973212	
Pazopanib	CYP3A4	1	
EGFR	ARPC4	0.8628338709774962	
FCGR2A	V2-15	0.8622716890165686	
FGFR3	SHC1	0.8642042654938719	
FGF1	PTK2	0.853898073011433	
CYP2C9	rs7089580	0.99	
JAK1	IFNA7	0.8622496297868503	
KDR	PIK3R1	0.8468891025876341	
JAK1	INPPL1	0.7989062580087279	
UGT1A8	rs6431558	0.8775210229989678	
EGFR	GFRA3	0.847975029345742	
FGF1	FGFR2	0.8701284707200179	
FCGR2A	V1-20	0.8622716890165686	
FCGR3A	IGHV7-81	0.8631759289499149	
P2RY12	TAS2R14	0.8354005520686607	
MET	CSF2	0.8281207788973212	
CYP3A4	rs4646440	0.8775210229989678	
ERBB2	IRS1	0.8513157657742707	
FCGR1A	IGHG1	0.8614909610942352	
FCGR1A	IGLC6	0.8622716890165686	
rs1042640	UGT1A	0.9414801494009999	
HCAR2	HTR1B	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.8638247395845513	
ERBB2	FYN	0.847975029345742	
MET	CBL	0.8647721406168101	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GABBR1	0.8638247395845513	
FGF2	EGF	0.8655209368590407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.8638247395845513	
UGT1A7	UGT1A7*3	0.8775210229989678	
JAK2	CSH1	0.855009540709891	
FGF2	KL	0.8694322300861046	
VEGFA	SHB	0.8665296810183852	
UGT1A1	rs10929302	0.9135172474836407	
FGF1	LAT	0.853898073011433	
FGF2	FGF2	0.8711111213221688	
P2RY12	NPY5R	0.8252219011119977	
SLCO2B1	rs2306168	0.99	
FCGR2A	FCGR1A	0.8580060915991022	
CYP3A5	CYP3A5*1A, CYP3A5*3A, CYP3A5*6, CYP3A5*7	0.99	
P2RY12	CCR8	0.8354005520686607	
JAK2	JAK3	0.8554315896386415	
FCGR2A	IGHV3-30	0.8622716890165686	
VEGFA	PXN	0.8532543843767528	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PF4V1	0.8638247395845513	
HCAR2	CXCL12	0.8407682499807351	
KIT	SH2B2	0.8351516051398434	
CYP3A	rs12721627	0.9320653479069899	
FGF1	ARTN	0.855946747881349	
FCGR3A	IGHG4	0.8614909610942352	
FCGR3A	IGLC1	0.8631759289499149	
HCAR2	HCAR3	0.8354005520686607	
HCAR2	PDYN	0.8407682499807351	
JAK3	INPP5D	0.7989062580087279	
FGF1	IL2RA	0.853898073011433	
EGFR	SPTBN5	0.8435102388865442	
FGF1	SHC2	0.8513157657742707	
EGFR	LAT	0.8435102388865442	
P2RY12	AGT	0.8407682499807351	
FGF1	PLCG1	0.8691183132155863	
HCAR2	POMC	0.8407682499807351	
EGFR	GAB1	0.8691673346667691	
JAK1	CAMK2A	0.8354005520686607	
TEK	GRB2	0.8676677067435474	
FGFR3	FGF22	0.858976627682086	
CYP19A1	rs3759811	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
ERBB4	PDGFB	0.847975029345742	
HCAR2	P2RY4	0.8354005520686607	
FCGR1A	IGKV4-1	0.8622716890165686	
MET	EGF	0.853898073011433	
IFNGR2	IFNGR2	0.8560021777996374	
FGFR3	FGF7	0.8513157657742707	
FCGR3A	ELMO2	0.7983096722548423	
EGFR	HBEGF	0.8697556328543028	
MET	IL5RA	0.8281207788973212	
EGFR	FGF19	0.857607030791991	
EGFR	PTK2	0.8435102388865442	
HCAR3	CNR1	0.8354005520686607	
HCAR3	CXCL8	0.8459813396079446	
FGF2	EREG	0.8651659866513213	
EGFR	EPS15L1	0.866715527166346	
ERBB4	CAMK2G	0.8281207788973212	
P2RY12	ADRA2B	0.8252219011119977	
P2RY12	GNB1	0.8632667287580127	
MET	GFRA3	0.8372883840480309	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDCP1	0.8638247395845513	
Afatinib	ERBB2	1	
ERBB2	NRG4	0.8697812988030533	
FCGR2A	IGKV1-17	0.8622716890165686	
EGFR	TEK	0.8435102388865442	
FKBP1A	TGFBR1	0.8545673917919406	
P2RY12	NPBWR1	0.8354005520686607	
Trastuzumab Emtansine	ABCB1	1	
CYP2B6	rs58425034	0.99	
HCAR2	SSTR1	0.8354005520686607	
