IFIH1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
BTK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
STAT1	Autoimmune thrombocytopenia	
MAP2K1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MTHFR	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMAA	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PALB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CD19	Autoimmune thrombocytopenia	
ITK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFRB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CYP2C19	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TCN2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
AGK	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
FCGR3A	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMAB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
APOE	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TYK2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CD19	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NRAS	Autoimmune thrombocytopenia	
CYP2C9	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MMACHC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MS4A1	Autoimmune thrombocytopenia	
HLA-DRB1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
SRC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
FCGR2A	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGA2B	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ICOS	Autoimmune thrombocytopenia	
FCGR2C	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGB3	Autoimmune thrombocytopenia	
BCR	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PTPN22	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CSF2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
OCRL	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
BRAF	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
TFRC	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
JAK2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ALB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
STAT1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGB3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
JAK1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PDGFB	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
HLA-DRB3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
MUT	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB2	Autoimmune thrombocytopenia	
IL3	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PTPN11	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ABL1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNA2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PNP	Autoimmune thrombocytopenia	
ICOS	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NFKB1	Autoimmune thrombocytopenia	
STAT2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
VWF	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
SCARB2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
NRAS	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
ITGA2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CFH	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
PECAM1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNAR1	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
IFNAR2	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PHC3	0.8638247395845513	
FGFR4	FGF7	0.8513157657742707	
rs6759892	UGT1A9	0.8687458127689781	
FGFR1	GFRA3	0.8281207788973212	
FYN	PIK3CB	0.8611505155370949	
LCK	PLCG1	0.8637281740837501	
JAK2	PTPN6	0.8587458633585864	
FGF2	FGFR1	0.8702045334767963	
CYP1A2	rs2470890	0.99	
STAT5B	IL2RB	0.8497082254156562	
CYP19A1	rs4646	0.99	
FCGR3A	IGHV1-69	0.8631759289499149	
CD3D	WASL	0.8628338709774962	
UGT1A9	rs58597806	0.8953382542587163	
rs4987161	CYP3A4	0.8863848717161291	
EGFR	NRG2	0.8690931465161327	
CYP3A4	rs2242480	0.99	
LYN	IGLV1-51	0.8574228804342738	
LYN	V4-1	0.8516636985739204	
JAK1	PTPN11	0.8447236169788426	
JAK2	KITLG	0.8568934182658772	
SRC	SH2B2	0.8351516051398434	
FCGR1A	VAV2	0.8468891025876341	
ITGB3	SRC	0.8675271881632185	
CHUK	NFKB2	0.8458468054109449	
CD3D	FNBP1L	0.863443159858049	
ERBB2	MATK	0.7983096722548423	
UGT1A	rs11563250	0.9320653479069899	
LCK	PDPK1	0.8435102388865442	
FGF4	RANBP9	0.853898073011433	
FGFR4	PDGFRA	0.8435102388865442	
IKBKB	IRAK1	0.8630269087798201	
FCGR2A	IGHV4-34	0.8622716890165686	
Sunitinib	CYP3A4	1	
FYN	EPHA2	0.8566409204013108	
FGFR2	FGFR1	0.8513157657742707	
APOE	rs429358	0.8381682809941505	
SRC	LYN	0.8670406049940645	
CD3D	EPN1	0.8628338709774962	
FCGR3A	IGLV3-1	0.8631759289499149	
CYP2C9	rs1057910	0.99	
FGFR3	RET	0.8281207788973212	
FCGR1A	FCGR1A	0.8613363396709319	
LYN	PTPN11	0.8541037391936209	
FCGR3A	V2-11	0.8631759289499149	
SRC	PIK3R2	0.8319100629186602	
SLCO1B1	rs113681054	0.99	
SRC	GRIN2B	0.8526462282435747	
FGF1	GRIN1	0.853898073011433	
SRC	FGB	0.8659427526468915	
FGF2	FRS3	0.8696491071102892	
FCGR1A	V1-5	0.8622716890165686	
FCGR1A	P0CG05	0.8622716890165686	
EGFR	CBL	0.8694157245827837	
EGFR	EPN1	0.8671306900274336	
Trastuzumab	CYP19A1	1	
Vandetanib	PTK6	1	
FGFR1	PLCG1	0.8600915199930605	
FGFR1	FGFR4	0.8513157657742707	
LYN	RAC1	0.8475031000327038	
FCGR2A	V5-1	0.8622716890165686	
Abciximab	ITGB3	1	
CD3D	TRBC1	0.8618120354122875	
EGFR	FNBP1L	0.863443159858049	
ERBB2	RASGRF1	0.8281207788973212	
FGF2	SPTBN4	0.853898073011433	
rs10929303	UGT1A	0.9414801494009999	
Cyanocobalamin	MTHFR	1	
ERBB2	HRAS	0.8611234767592315	
PDGFRB	FRS2	0.8610963123912945	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
FGF2	FGF10	0.8705196260072451	
FGFR2	NRTN	0.8281207788973212	
SLC22A1	rs622342	0.99	
FGFR4	PIK3R2	0.8413177913220824	
EGFR	CAMK2D	0.8435102388865442	
KIT	FGFR4	0.8435102388865442	
FGFR1	ARTN	0.8281207788973212	
FCGR2A	IGLC1	0.8622716890165686	
FGF1	SHC3	0.8513157657742707	
EGFR	SYNJ1	0.8613363396709319	
UGT1A1	rs8330	0.9135172474836407	
UGT1A1	rs8330	0.99	
FGF4	LAT	0.853898073011433	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*29, CYP2D6*3, CYP2D6*31, CYP2D6*35, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6, CYP2D6*9	0.99	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*2, CYP2C9*3	0.99	
LCK	CD28	0.8581346142234013	
MAP2K2	FAM131B	0.8535455451872151	
CYP3A4	rs4986910	0.9509900498999999	
FGF1	PTPRA	0.853898073011433	
VEGFA	rs35864111	0.99	
FGFR1	GFRA4	0.8281207788973212	
EGFR	GPNMB	0.8497082254156562	
LCK	HLA-E	0.8516636985739204	
FGF1	CAMK2B	0.853898073011433	
EGFR	JAK2	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CNOT1	0.8638247395845513	
FYN	EPHB3	0.866499965431577	
YES1	KIT	0.8639651892799458	
EGFR	SHC1	0.8690126478566949	
CD3D	AP2A2	0.8666098248257992	
ERBB2	IL2RB	0.8281207788973212	
CYP3A4	rs4646437	0.9509900498999999	
ERBB2	EGFR	0.8699581403276919	
IFNAR2	IFNA5	0.8622496297868503	
CD3D	FZD4	0.863443159858049	
BCR	BCR	0.8626737540221514	
LCK	KIT	0.8644439691138128	
Ponatinib	ABL1	1	
CYP1A2	CYP1A2*1A, CYP1A2*1F	0.99	
FGF4	PTK2	0.853898073011433	
ERBB2	PDGFA	0.8513157657742707	
FCGR1A	V1-13	0.8622716890165686	
IRS1	rs13431554	0.8453590922813186	
LYN	V2-15	0.8516636985739204	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFH	0.8638247395845513	
ERBB2	IL5	0.8281207788973212	
KIT	KITLG	0.8677596750953283	
JAK1	INPP5D	0.7989062580087279	
LYN	EFNB1	0.858976627682086	
CYP3A4	rs12721627	0.99	
IFNAR2	IFNA2	0.8622496297868503	
EGFR	SNX9	0.863443159858049	
LYN	IGHV3-33	0.8574228804342738	
ABCC4	rs3765534	0.99	
KDR	CRK	0.8433517079273392	
KDR	RHOA	0.8252219011119977	
SLC22A1	rs2282143	0.99	
FYN	PAK3	0.8614909610942352	
FGF4	MAPK3	0.8480904465605648	
SRC	RAP1B	0.8664849906990981	
LYN	IGHV3-48	0.8574228804342738	
FCGR2A	P80362	0.8622716890165686	
FGFR2	FGF20	0.8697897167142075	
Abciximab	FCGR2B	1	
FYN	CD28	0.8591263874276441	
FGFR1	GFRA2	0.8281207788973212	
KIT	FGF6	0.8610963123912945	
FYN	EFNA3	0.8582609785019573	
FYN	KLRC2	0.8516636985739204	
LYN	EFNB2	0.858976627682086	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.8638247395845513	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B, SLCO1B1*5	0.99	
LYN	IGKV1D-12	0.8574228804342738	
FGF1	FGF17	0.8711387031818277	
FYN	LCP2	0.8560021777996374	
FCGR1A	IGHV3-7	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.8638247395845513	
FGF4	CAMK2B	0.853898073011433	
SLC22A1	SLC22A1*1, SLC22A1*2, SLC22A1*3, SLC22A1*4, SLC22A1*5, SLC22A1*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA2	0.8638247395845513	
FCGR2A	IGHV3-53	0.8622716890165686	
PDGFRB	NRG1	0.8513157657742707	
EGFR	PDGFA	0.853898073011433	
PDGFRB	FGF9	0.8638403979636339	
LYN	PECAM1	0.8354005520686607	
Pazopanib	ABCB1	1	
ABCB1	rs2229109	0.99	
JAK1	CSF2RB	0.8281207788973212	
Abciximab	FCGR3B	1	
Pazopanib	CYP3A4	1	
EGFR	ARPC4	0.8628338709774962	
FCGR2A	V2-15	0.8622716890165686	
CD3D	AP2A1	0.8666098248257992	
EPHA2	LYN	0.8566409204013108	
FGFR2	PTPN11	0.8624448592074129	
SRC	CD28	0.8421959353175904	
FGFR3	SHC1	0.8642042654938719	
FGF1	PTK2	0.853898073011433	
ABCC4	rs1751034	0.99	
CYP2C9	rs7089580	0.99	
JAK1	IFNA7	0.8622496297868503	
Dasatinib	ABL2	1	
KDR	PIK3R1	0.8468891025876341	
JAK1	INPPL1	0.7989062580087279	
UGT1A8	rs6431558	0.8775210229989678	
EGFR	GFRA3	0.847975029345742	
FGF1	FGFR2	0.8701284707200179	
FCGR2A	V1-20	0.8622716890165686	
FCGR3A	IGHV7-81	0.8631759289499149	
EPHA2	EFNB1	0.8459813396079446	
CYP3A4	rs4646440	0.8775210229989678	
ERBB2	IRS1	0.8513157657742707	
FCGR1A	IGHG1	0.8614909610942352	
FGF4	FYN	0.8632846785253419	
CD3D	EPS15L1	0.8628338709774962	
CD3D	REPS1	0.8658049874828022	
FCGR1A	IGLC6	0.8622716890165686	
FGFR4	FGF3	0.858976627682086	
rs1042640	UGT1A	0.9414801494009999	
FGFR2	EGF	0.855946747881349	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.8638247395845513	
CDK2	DBF4	0.8398120133516425	
ERBB2	FYN	0.847975029345742	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GABBR1	0.8638247395845513	
CDK2	CDK7	0.852724204446584	
FGF2	EGF	0.8655209368590407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.8638247395845513	
UGT1A7	UGT1A7*3	0.8775210229989678	
JAK2	CSH1	0.855009540709891	
FGF2	KL	0.8694322300861046	
FGF2	FGF2	0.8711111213221688	
VEGFA	SHB	0.8665296810183852	
FGF1	LAT	0.853898073011433	
UGT1A1	rs10929302	0.9135172474836407	
SRC	GIT1	0.8570412853760152	
FCGR2A	FCGR1A	0.8580060915991022	
CYP3A5	CYP3A5*1A, CYP3A5*3A, CYP3A5*6, CYP3A5*7	0.99	
IKBKB	TRAF2	0.8294526363440686	
JAK2	JAK3	0.8554315896386415	
FCGR2A	IGHV3-30	0.8622716890165686	
VEGFA	PXN	0.8532543843767528	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PF4V1	0.8638247395845513	
EPHA2	EPHA6	0.8520838925573979	
Bosutinib	CYP3A4	1	
FGFR4	FGF17	0.8694788835721461	
KIT	SH2B2	0.8351516051398434	
CYP3A	rs12721627	0.9320653479069899	
FGF1	ARTN	0.855946747881349	
FCGR3A	IGHG4	0.8614909610942352	
FCGR3A	IGLC1	0.8631759289499149	
FYN	FRS2	0.8601235081501506	
CD3D	BIN1	0.863443159858049	
EPHA2	EFNA2	0.8600915199930605	
FGF1	IL2RA	0.853898073011433	
EGFR	SPTBN5	0.8435102388865442	
FGFR2	FGF22	0.8694173850177577	
FGFR1	ERBB4	0.853898073011433	
FGFR1	SOS1	0.8686082048906631	
FYN	NTN1	0.8614909610942352	
FGF4	CAMK2D	0.853898073011433	
FGF1	SHC2	0.8513157657742707	
Abciximab	C1QA	1	
LCK	TREM2	0.8520838925573979	
LYN	KIT	0.8639651892799458	
CDK2	ORC1	0.8484307441293273	
EGFR	LAT	0.8435102388865442	
FYN	RHOA	0.8252219011119977	
FGF1	PLCG1	0.8691183132155863	
EGFR	GAB1	0.8691673346667691	
JAK1	CAMK2A	0.8354005520686607	
TEK	GRB2	0.8676677067435474	
FGFR3	FGF22	0.858976627682086	
FGFR1	PDGFA	0.8435102388865442	
CYP19A1	rs3759811	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
MTR	rs1805087	0.99	
FGFR1	FGF17	0.8701046867436173	
LYN	P80362	0.8574228804342738	
YES1	EPHA10	0.8566409204013108	
Abciximab	VTN	1	
FCGR1A	IGKV4-1	0.8622716890165686	
IFNGR2	IFNGR2	0.8560021777996374	
FGFR3	FGF7	0.8513157657742707	
FCGR3A	ELMO2	0.7983096722548423	
EGFR	HBEGF	0.8697556328543028	
Aminosalicylic Acid	PTGS2	1	
EPHA2	EPHB6	0.8459813396079446	
EGFR	FGF19	0.857607030791991	
EGFR	PTK2	0.8435102388865442	
FGF2	EREG	0.8651659866513213	
CAMK2G	GRIN2D	0.8516636985739204	
EGFR	EPS15L1	0.866715527166346	
FGF4	ANGPT1	0.853898073011433	
LYN	V2-17	0.8516636985739204	
LCK	HLA-DRB3	0.8637443836010867	
CDK2	E2F3	0.8248354829013484	
ERBB2	NRG4	0.8697812988030533	
FCGR2A	IGKV1-17	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDCP1	0.8638247395845513	
EGFR	TEK	0.8435102388865442	
IFNAR1	IFNA21	0.8634258189159196	
CDK2	CDKN1A	0.8646830088497286	
FGF2	SPTB	0.853898073011433	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCN5A	0.8638247395845513	
EGFR	TGOLN2	0.8628338709774962	
Vandetanib	ABCC1	1	
FGF1	FGF23	0.8711480470000197	
FCGR2A	P0CG06	0.8622716890165686	
LYN	IGLV1-47	0.8574228804342738	
LCK	PIK3CA	0.8668895482508605	
FGFR1	FGF19	0.8513157657742707	
PTGS1	rs1330344	0.99	
FCGR2A	IGHG4	0.8614909610942352	
CD3D	ARPC2	0.8628338709774962	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B	0.99	
EGFR	rs2293347	0.99	
CD3D	HIP1	0.8628338709774962	
FYN	EPHB1	0.866499965431577	
FGFR1	BTC	0.853898073011433	
FGF1	KL	0.8694322300861046	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CLCA2	0.8638247395845513	
PDGFRA	EREG	0.847975029345742	
LYN	IGKV1D-39	0.8574228804342738	
KDR	SHB	0.8665296810183852	
NTRK1	RAP1A	0.8468891025876341	
FGF4	FGF10	0.870459375608672	
CD19	GRB2	0.8572343490951352	
FCGR2A	CD247	0.8580060915991022	
FGF4	SPTBN1	0.853898073011433	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NPHS1	0.8638247395845513	
FCGR1A	IGKC	0.8622716890165686	
FCGR3A	IGKV3-15	0.8631759289499149	
FGF4	CSF2RA	0.853898073011433	
PTK6	ARAP1	0.8310189406311155	
SLC22A1	rs34130495	0.99	
CYP2C9	CYP2C9*1, CYP2C9*11, CYP2C9*2, CYP2C9*3, CYP2C9*5, CYP2C9*6	0.99	
Trastuzumab	C1QA	1	
Peginterferon Alfa-2a	IFNAR1	1	
CYP3A4	rs3735451	0.8775210229989678	
FGF1	KLB	0.8692585535623065	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CHKB	0.8638247395845513	
FGF4	HRAS	0.8680533572816113	
FGF4	FGF6	0.8708878332651555	
FCGR2A	IGLC7	0.8622716890165686	
ABCG2	rs45605536	0.99	
FCGR1A	IGHV4-59	0.8622716890165686	
CD3D	SH3GL2	0.8652664063176569	
rs2070959	UGT1A7	0.8863848717161291	
EGFR	DIAPH1	0.8197146809151086	
LYN	GAB2	0.8451548535446745	
IFNAR2	STAT1	0.8526462282435747	
FGF1	RAPGEF2	0.8513157657742707	
EGFR	DLG4	0.8435102388865442	
EGFR	VAMP2	0.8628338709774962	
Imatinib	CYP1A2	1	
ABCB1	rs3842	0.99	
FYN	FGF9	0.8632846785253419	
VEGFA	ELMO2	0.7983096722548423	
FGF1	GFRA4	0.855946747881349	
KDR	SH2D2A	0.8588236184081405	
FGF1	SHC1	0.8690126478566949	
ERBB2	RANBP9	0.8281207788973212	
FYN	GRB2	0.8701953004617193	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PALB2	0.8638247395845513	
UGT1A9	rs3832043	0.9509900498999999	
Dasatinib	CYP1B1	1	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.9135172474836407	
UGT1A9	rs72551330	0.8953382542587163	
IKBKB	SQSTM1	0.842023951637581	
LYN	IGHV1-2	0.8574228804342738	
IFNAR1	IFNA4	0.8634258189159196	
FCGR3A	P80362	0.8631759289499149	
EGFR	TRIP10	0.863443159858049	
KDR	AXL	0.850491991613676	
CD3D	GRB2	0.8628338709774962	
CYP2C19	CYP2C19*1, CYP2C19*2	0.99	
STAT5B	GH2	0.8579191844628987	
EGFR	RASGRP1	0.8372883840480309	
EGFR	SYT9	0.8628338709774962	
PIK3CA	rs2699887	0.8607411499631032	
IKBKB	TAB2	0.8560021777996374	
FYN	FGFR1	0.8372883840480309	
PDGFRA	PIK3R1	0.8656414349454913	
IFNAR1	STAT1	0.8526462282435747	
IFNAR2	TYK2	0.8634258189159196	
CHUK	TRAF2	0.8294526363440686	
MTHFR	rs1476413	0.99	
ITK	LAT	0.8631759289499149	
EGFR	CD3G	0.8628338709774962	
LCK	PIK3R2	0.8452958729825284	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLA2G4F	0.8638247395845513	
ERBB2	MEMO1	0.8319100629186602	
LCK	B2M	0.8516636985739204	
NRG1	rs13250975	0.8568657274904503	
EGFR	FGF10	0.8619307007599862	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA4	0.8638247395845513	
rs10929303	UGT1A1	0.92274469442792	
FGFR1	FGF2	0.8702045334767963	
LYN	IGLV3-19	0.8574228804342738	
LYN	IGLV7-43	0.8574228804342738	
FGF1	NRAS	0.8680533572816113	
GIF	AMN	0.8294526363440686	
FCGR3A	IGHV4-59	0.8631759289499149	
LCK	SRC	0.8637281740837501	
KIT	KL	0.8435102388865442	
TP53	rs1042522	0.81831675767688	
CD3D	EPN2	0.8628338709774962	
FCGR1A	IGLV3-1	0.8622716890165686	
EGFR	GRIN1	0.8435102388865442	
JAK1	IFNA8	0.8622496297868503	
FGF1	CAMK2A	0.853898073011433	
CYP3A4	rs28371759	0.99	
ERBB2	FGF17	0.8655209368590407	
ABCB1	rs4728709	0.99	
EGFR	VAMP7	0.8628338709774962	
FCGR3A	IGKV1-16	0.8631759289499149	
PDGFRA	SHC1	0.8601235081501506	
PDGFRA	HGF	0.8372883840480309	
CAMK2G	CALM3	0.842023951637581	
LYN	IGKV2D-28	0.8574228804342738	
SRC	TLN1	0.8664849906990981	
FCGR3A	IGKV1D-39	0.8631759289499149	
Imatinib	ABCB1	1	
FCGR3A	IGKV1-5	0.8631759289499149	
LCK	CD274	0.8448687443032323	
Cyanocobalamin	MUT	1	
LYN	CD80	0.8516636985739204	
JAK2	STAT6	0.8496066018949794	
ITGB3	PTK2	0.86449835626608	
CAMK2G	CAMK2G	0.8545025065589051	
PTK6	NRG4	0.8633557898536034	
JAK2	TYK2	0.8541037391936209	
FGF2	IRS2	0.8638403979636339	
FGF4	ERBB3	0.8638403979636339	
ERBB2	FGF5	0.8638403979636339	
FGF2	SPTBN5	0.853898073011433	
FGFR4	FGFR4	0.8690973720765747	
LYN	IGHV3-9	0.8574228804342738	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3	0.99	
EPHA2	EPHA2	0.8520838925573979	
Ponatinib	KDR	1	
FCGR2A	IGHV3-23	0.8622716890165686	
VEGFA	KDR	0.8695419162896381	
SRC	GRIN1	0.8526462282435747	
CYP3A4	rs2740574	0.8775210229989678	
MAP2K2	BRAF	0.8690348486706703	
FGF2	NRG4	0.8651659866513213	
KDR	HSP90AA1	0.8625501908282859	
LCK	GRAP2	0.8651318778428267	
FGF2	KITLG	0.8638403979636339	
STAT5B	JAK1	0.8556642356373598	
CYP2D6	CYP2D6*1, CYP2D6*38, CYP2D6*4, CYP2D6*5, CYP2D6*9	0.99	
CD3D	SYNJ2	0.8613363396709319	
FGF2	ERBB3	0.8638403979636339	
UGT1A1	rs8175347	0.9135172474836407	
CD3D	ITSN1	0.8658049874828022	
KIT	BTC	0.847975029345742	
rs12721627	CYP3A4	0.96059601	
FGFR2	FGF5	0.8696186908525637	
FCGR3A	IGKV3-20	0.8631759289499149	
UGT1A	rs10929303	0.8953382542587163	
FGF2	RASGRF2	0.853898073011433	
JAK2	CSF2RB	0.8659427526468915	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.8638247395845513	
CYP1A1	rs2472297	0.99	
FGFR2	ERBB3	0.8435102388865442	
FCGR1A	V4-6	0.8622716890165686	
EGFR	BIN1	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT16	0.8638247395845513	
FLT3	rs1933437	0.99	
FGF4	ACTN2	0.853898073011433	
FYN	EPHA7	0.8566409204013108	
FCGR3A	IGLV2-23	0.8631759289499149	
FGF1	PIK3CB	0.8584669291223378	
LCK	CD3D	0.8637443836010867	
FYN	YES1	0.867700337642815	
FGFR2	NRAS	0.860155337427376	
LYN	IGKV3-15	0.8574228804342738	
SRC	PDGFA	0.842023951637581	
YES1	LYN	0.8670406049940645	
EGFR	IL2RA	0.8435102388865442	
SRC	FGA	0.8659427526468915	
FGF1	FGFR3	0.8697191396321272	
PDGFRB	FGF3	0.855946747881349	
CYP1A2	rs762551	0.99	
FCGR2A	IGKV1D-12	0.8622716890165686	
IFNAR2	IFNA21	0.8622496297868503	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
FGF4	IL5RA	0.853898073011433	
JAK2	JAK2	0.8706048973867822	
FGF4	FGF20	0.8710944861307965	
rs6759892	UGT1A6	0.8687458127689781	
FYN	CD2AP	0.7983096722548423	
UGT1A1	rs4148323	0.9509900498999999	
CDK2	CKS1B	0.8381680014777021	
FGFR4	GFRA1	0.8281207788973212	
LYN	EPHA6	0.8566409204013108	
VEGFA	SH2D2A	0.8588236184081405	
SLCO1B1	rs11045872	0.99	
FGF1	DLG4	0.853898073011433	
FGF2	PSPN	0.855946747881349	
FGF1	KRAS	0.8680533572816113	
CDK2	ATM	0.8428664372377465	
PTGS2	rs5275	0.99	
LYN	IGHV	0.8574228804342738	
JAK1	STAT2	0.8635627239806679	
FGFR4	PDGFA	0.8435102388865442	
CHUK	MALT1	0.8294526363440686	
CD19	PIK3CA	0.8638403979636339	
ABL1	ABL1	0.8421959353175904	
FGFR1	PSPN	0.8281207788973212	
LYN	IGLV6-57	0.8574228804342738	
CYP2D6	CYP2D6*1, CYP2D6*1xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
CD3D	TCRB	0.8618120354122875	
SRC	EPHA8	0.8566409204013108	
FCGR3A	V1-7	0.8631759289499149	
CD3D	CD247	0.8618120354122875	
Ruxolitinib	JAK1	1	
Cyanocobalamin	MMAA	1	
YES1	JAK2	0.8499089801634054	
JAK2	CAMK2G	0.8354005520686607	
UGT1A	rs8330	0.9702989999999999	
SRC	ROCK1	0.8421959353175904	
FCGR2A	V1-13	0.8622716890165686	
FCGR3A	V2-15	0.8631759289499149	
CYP2C8	rs1113129	0.99	
EGFR	SPTBN4	0.8435102388865442	
