B2M	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RHOA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SCARB2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
APOE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTGS2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
REN	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
OCRL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD2AP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria Adverse Event	
FABP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
VEGFA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTPN22	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INS	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NPHS1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ALB	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FGA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria Adverse Event	
HP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FN1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria Adverse Event	
HLA-DRB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
LRP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
POMC	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD80	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CTSL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DPB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INSR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria Adverse Event	
NPHS1	Proteinuria Adverse Event	
CFH	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SAA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria Adverse Event	
APOA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RET	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PPARA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DQA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
UGT1A1	UGT1A1*1, UGT1A1*28, UGT1A1*37, UGT1A1*6	0.9509900498999999	
Acitretin	RARG	1	
CYP3A4	rs4986910	0.99	
FYN	FYN	0.8707993646778878	
EPHA2	FYN	0.8566409204013108	
CFTR	SLC2A8	0.8621379174857935	
Ibuprofen	CFTR	1	
CYP2C19	rs12768009	0.99	
rs6759892	UGT1A8	0.9043820750088043	
ABCB1	rs2235040	0.99	
EPHA2	YES1	0.8566409204013108	
YES1	RAC1	0.8475031000327038	
UGT1A	rs11563250	0.8953382542587163	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
Vandetanib	TEK	1	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.8953382542587163	
Naproxen	UGT2B7	1	
Celecoxib	ABCC4	1	
Dasatinib	SRC	1	
Valsartan	SLCO1B1	1	
RXRA	HELZ2	0.8351516051398434	
FYN	FGF18	0.8601235081501506	
EGFR	FZD4	0.863443159858049	
Diflunisal	UGT1A8	1	
VEGFA	rs833061	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
SLCO1B1	rs4363657	0.99	
Ibuprofen	ALB	1	
Piroxicam	PTGS2	1	
LCK	KITLG	0.8644439691138128	
LCK	PTPRJ	0.8086124452583398	
AGTR1	NPFF	0.833320481754769	
UGT1A7	UGT1A7*3	0.9509900498999999	
YES1	EFNB3	0.858976627682086	
Acitretin	ALB	1	
rs1042640	UGT1A1	0.8863848717161291	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
UGT1A	rs8330	0.9135172474836407	
EGFR	CSF2RA	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
Ibuprofen	UGT1A1	1	
PTGDR2	GNAI2	0.8497082254156562	
KDR	ROCK2	0.8252219011119977	
PDGFRB	FGF19	0.8435102388865442	
THBD	rs1042580	0.99	
CYP2C9	rs56165452	0.99	
CYP3A4	rs35599367	0.9135172474836407	
EPHA2	EPHB1	0.8459813396079446	
CFTR	PIK3C2A	0.8441288359160942	
PDPK1	TRAF6	0.8468891025876341	
CFTR	CD3G	0.8621379174857935	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GCN1L1	0.818984274335209	
CYP3A4	rs35599367	0.99	
PDGFRB	BTC	0.847975029345742	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.818984274335209	
EGFR	NRG4	0.8693683183476757	
UGT1A8	rs1042597	0.99	
PIK3CA	rs2699887	0.8595395962867226	
UGT1A9	rs6714486	0.9135172474836407	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC1A5	0.818984274335209	
KDR	ELMO2	0.7983096722548423	
RARA	CRABP2	0.8294526363440686	
PPARA	TGS1	0.7989062580087279	
FYN	DOCK1	0.8536170489627942	
CYP3A5	CYP3A5*1A, CYP3A5*3A	0.99	
YES1	EPHB3	0.8591633312389747	
KIT	HGF	0.8372883840480309	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.99	
FYN	FGFR4	0.8372883840480309	
CES1	rs71647871	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.818984274335209	
SRC	EPHA2	0.8566409204013108	
ABCB1	rs4148739	0.99	
CYP2C9	rs1799853	0.99	
PDGFRB	HGF	0.8372883840480309	
EGFR	IL2	0.8435102388865442	
PLA2G2A	LPCAT1	0.8372883840480309	
STAT5B	JAK2	0.8679408336968693	
PPARG	MED20	0.7989062580087279	
SRC	CD86	0.8516636985739204	
KIT	FGF3	0.855946747881349	
BCL2	rs1800477	0.99	
EGFR	AP2B1	0.8664242982340606	
PDPK1	RHOC	0.8294526363440686	
LCK	KLRC2	0.8516636985739204	
EGFR	EPS15	0.8681819658126884	
LCK	HLA-DQA1	0.8637443836010867	
MAPK3	MAP2K1	0.8699040479139604	
UGT1A1	rs1042640	0.9509900498999999	
Indomethacin	UGT1A9	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AMPD3	0.8638247395845513	
UGT1A	rs10929303	0.8600583546412883	
YES1	PTPN11	0.8541037391936209	
LCK	HLA-DRB1	0.8637443836010867	
UGT1A9	rs2741049	0.9702989999999999	
PPARA	HDAC3	0.8294526363440686	
CFTR	AVPR2	0.863443159858049	
Ibuprofen	UGT2B4	1	
YES1	EFNA5	0.8582609785019573	
UGT1A9	rs2741049	0.9320653479069899	
UGT1A9	rs2003569	0.8953382542587163	
UGT1A9	rs2070959	0.9702989999999999	
YES1	CD80	0.8516636985739204	
FYN	GRIN2B	0.8567933402497072	
VEGFA	PIK3CB	0.8468891025876341	
ABCB1	rs1045642	0.99	
FYN	PLXNA3	0.8627344076022689	
UGT1A9	rs72551344	0.8953382542587163	
RXRA	HIST1H3J	0.8438225987934436	
ABCB1	rs10248420	0.99	
Flurbiprofen	PTGS2	1	
EGFR	FGF22	0.8619307007599862	
FYN	NRP1	0.8630269087798201	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA1	0.8638247395845513	
VEGFA	rs699947	0.99	
FYN	NPHS1	0.8492966271403907	
PDGFRB	FGF18	0.8610963123912945	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
FYN	CBL	0.8562204294778428	
CYP2D6	CYP2D6*1, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
EGFR	CAMK2A	0.8435102388865442	
FYN	SOS1	0.8691693402499803	
PTK6	PTK6	0.8687679411319893	
SRC	EFNB1	0.8664623807565615	
UGT1A1	rs1042640	0.8775210229989678	
UGT1A1	UGT1A1*1, UGT1A1*28	0.99	
UGT1A8	rs6759892	0.8775210229989678	
Indomethacin	ABCC1	1	
KIT	FRS2	0.8610963123912945	
Valsartan	CYP2C9	1	
AGTR1	UTS2	0.8407682499807351	
AGTR1	GRP	0.8407682499807351	
Benazepril	SLC15A2	1	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3, CYP2C9*5, CYP2C9*6, CYP2C9*8	0.99	
CYP3A5	rs17161788	0.99	
Auranofin	PRDX5	1	
MAPK3	BRAF	0.8691872605341271	
ABCG2	rs12505410	0.99	
UGT1A	rs10929303	0.9702989999999999	
RXRA	CREBBP	0.8396144291374222	
CFTR	EPN2	0.8628338709774962	
CFTR	rs121908757	0.99	
FYN	NCK2	0.8666667021189254	
CFTR	VAMP8	0.8628338709774962	
LCK	KLRK1	0.8516636985739204	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ALB	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP1M1	0.8638247395845513	
CYP2D6	rs5030655	0.99	
UGT1A	rs1042640	0.9702989999999999	
VEGFA	CRK	0.8433517079273392	
AGTR1	FFAR3	0.8354005520686607	
Diflunisal	TTR	1	
EGFR	RET	0.847975029345742	
EGFR	FGF23	0.8658423074095727	
SRC	PXN	0.8563805634189255	
CYP2D6	rs1065852	0.99	
PTGDR2	RLN3	0.8407682499807351	
EGFR	STAM2	0.8665370616181098	
PPARA	TBL1XR1	0.8277761371930282	
ABL1	ROBO1	0.842023951637581	
Naproxen	ALB	1	
EGFR	REPS1	0.8658049874828022	
APOC1	rs7412	0.8107944315918569	
CFTR	ARRB2	0.863443159858049	
EGFR	AP2A2	0.8664242982340606	
CFTR	rs80282562	0.99	
UGT1A9	rs72551330	0.9320653479069899	
IKBKB	NFKBIA	0.8539671061984366	
AGTR1	rs5182	0.99	
APOB	rs1801701	0.8542055322677212	
rs8330	UGT1A1	0.9043820750088043	
UGT1A9	rs11692021	0.9702989999999999	
PDGFRB	PIK3CA	0.8656414349454913	
LCK	YES1	0.8637281740837501	
NRAS	rs1065634	0.8596464989547411	
EGFR	EPN2	0.8634258189159196	
TEK	HRAS	0.852724204446584	
Insulin Detemir	INSR	1	
UGT1A1	rs887829	0.9135172474836407	
CYP2D6	rs745746329	0.99	
Etodolac	ALB	1	
Sulindac	PTGS2	1	
EGFR	SPTBN1	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.818984274335209	
UGT1A9	rs3806598	0.9509900498999999	
PTGDR2	ANXA1	0.8407682499807351	
EGFR	ARPC2	0.8628338709774962	
EGFR	rs11568315	0.99	
AGTR1	GPR68	0.8354005520686607	
Ibuprofen	FABP2	1	
IKBKB	RIPK1	0.851577718501957	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.818984274335209	
EGFR	SGIP1	0.8658049874828022	
SRC	KIT	0.8639651892799458	
CES1	rs8192935	0.99	
ABCB1	rs7787082	0.99	
Naproxen	SLC22A6	1	
ABCC1	rs28364006	0.99	
ABCB1	rs4148740	0.99	
EGFR	FGF3	0.8619307007599862	
SRC	PAK3	0.850491991613676	
Dasatinib	FMO3	1	
Dasatinib	ABL1	1	
UGT1A1	UGT1A1*1, UGT1A1*28	0.9135172474836407	
UGT1A7	rs17863778	0.8775210229989678	
CYP2D6	rs567606867	0.99	
ABCB1	rs10276036	0.99	
VEGFA	HSP90AA1	0.8625501908282859	
BCL2	rs2849380	0.99	
FYN	DPYSL4	0.8396144291374222	
UGT1A1	rs10929303	0.9320653479069899	
CYP3A4	rs2242480	0.9509900498999999	
FYN	KLB	0.8372883840480309	
KIT	GRB10	0.7989062580087279	
FYN	SRC	0.8697229727831113	
FYN	FGFR2	0.8372883840480309	
CYP1A2	rs72547517	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.818984274335209	
EGFR	SOS1	0.8700025940714176	
Oxcarbazepine	SCN5A	1	
FYN	EPHB2	0.866499965431577	
UGT1A9	rs8330	0.8953382542587163	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTN	0.8638247395845513	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.8775210229989678	
ABCC2	rs717620	0.99	
KDR	FYN	0.8587848464414376	
CYP2D6	rs3892097	0.99	
KDR	PTK2	0.8662260734280781	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.8638247395845513	
Sulindac	PTGS1	1	
EGFR	KIAA0319	0.8628338709774962	
UGT1A8	rs2070959	0.9702989999999999	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RLF	0.8638247395845513	
CYP2D6	CYP2D6*1, CYP2D6*10	0.99	
FYN	EFNA5	0.8582609785019573	
Flurbiprofen	UGT2B4	1	
RXRA	RARA	0.8330455603776535	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AP4E1	0.8638247395845513	
Acitretin	RARB	1	
EGFR	WASL	0.8628338709774962	
FYN	KLRD1	0.8516636985739204	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FN1	0.8638247395845513	
Perindopril	ABCB1	1	
FYN	BTC	0.8435102388865442	
UGT1A9	rs6759892	0.8600583546412883	
KDR	NCK1	0.8570412853760152	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.8638247395845513	
rs4987161	CYP3A	0.9801	
CFTR	rs113993960	0.99	
Dasatinib	CYP1A2	1	
KIT	KIT	0.867034484166376	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PHC3	0.8638247395845513	
rs6759892	UGT1A9	0.8687458127689781	
FYN	PIK3CB	0.8611505155370949	
LCK	PLCG1	0.8637281740837501	
CYP1A2	rs2470890	0.99	
STAT5B	IL2RB	0.8497082254156562	
CFTR	EPN1	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.818984274335209	
UGT1A9	rs58597806	0.8953382542587163	
rs4987161	CYP3A4	0.8863848717161291	
CFTR	ERLIN2	0.8558909648136892	
EGFR	NRG2	0.8690931465161327	
CYP3A4	rs2242480	0.99	
UGT1A9	rs6714486	0.99	
Indomethacin	PPARG	1	
SRC	SH2B2	0.8351516051398434	
Indomethacin	ABCC2	1	
UGT1A	rs11563250	0.9320653479069899	
LCK	PDPK1	0.8435102388865442	
IKBKB	IRAK1	0.8630269087798201	
ACE	rs4341	0.99	
FYN	EPHA2	0.8566409204013108	
APOE	rs429358	0.8381682809941505	
rs2070959	UGT1A8	0.92274469442792	
Indomethacin	ABCC4	1	
SRC	LYN	0.8670406049940645	
CYP2C9	rs1057910	0.99	
CFTR	STAM	0.8628338709774962	
SRC	PIK3R2	0.8319100629186602	
SLCO1B1	rs113681054	0.99	
SRC	GRIN2B	0.8526462282435747	
PDPK1	PKN2	0.8294526363440686	
ABCC3	rs9895420	0.99	
SRC	FGB	0.8659427526468915	
EGFR	CBL	0.8694157245827837	
Vandetanib	PTK6	1	
EGFR	EPN1	0.8671306900274336	
EGFR	FNBP1L	0.863443159858049	
rs10929303	UGT1A	0.9414801494009999	
AGTR1	FFAR1	0.8354005520686607	
PDGFRB	FRS2	0.8610963123912945	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
UGT1A7	rs2070959	0.9320653479069899	
Indomethacin	UGT1A1	1	
AGTR1	MT-RNR2	0.8407682499807351	
EGFR	CAMK2D	0.8435102388865442	
KIT	FGFR4	0.8435102388865442	
Ibuprofen	ABCC4	1	
EGFR	SYNJ1	0.8613363396709319	
UGT1A1	rs8330	0.9135172474836407	
UGT1A1	rs8330	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*29, CYP2D6*3, CYP2D6*31, CYP2D6*35, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6, CYP2D6*9	0.99	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*2, CYP2C9*3	0.99	
LCK	CD28	0.8581346142234013	
CYP3A4	rs4986910	0.9509900498999999	
VEGFA	rs35864111	0.99	
CFTR	ARPC3	0.8628338709774962	
Naproxen	UGT1A1	1	
rs2070959	UGT1A10	0.96059601	
EGFR	GPNMB	0.8497082254156562	
LCK	HLA-E	0.8516636985739204	
EGFR	JAK2	0.8435102388865442	
FYN	EPHB3	0.866499965431577	
rs6759892	UGT1A7	0.9043820750088043	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CNOT1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KCNMA1	0.818984274335209	
EGFR	SHC1	0.8690126478566949	
YES1	KIT	0.8639651892799458	
AGTR1	GNRHR	0.8354005520686607	
RXRA	NCOR2	0.8520011245557966	
UGT1A6	rs4261716	0.9702989999999999	
CYP3A4	rs4646437	0.9509900498999999	
UGT1A6	UGT1A6*2a	0.8600583546412883	
LCK	KIT	0.8644439691138128	
PPARG	MED25	0.7989062580087279	
CYP1A2	CYP1A2*1A, CYP1A2*1F	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.818984274335209	
IRS1	rs13431554	0.8453590922813186	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFH	0.8638247395845513	
rs6759892	UGT1A7	0.9801	
KIT	KITLG	0.8677596750953283	
CFTR	CBL	0.8628338709774962	
CYP3A4	rs12721627	0.99	
EGFR	SNX9	0.863443159858049	
RXRA	rs6413517	0.99	
ABCC4	rs3765534	0.99	
KDR	CRK	0.8433517079273392	
UGT1A9	rs58597806	0.9320653479069899	
KDR	RHOA	0.8252219011119977	
FYN	PAK3	0.8614909610942352	
MAPK3	BAIAP2	0.8086124452583398	
SRC	RAP1B	0.8664849906990981	
Etodolac	SLC22A6	1	
FYN	CD28	0.8591263874276441	
KIT	FGF6	0.8610963123912945	
Indomethacin	ABCB1	1	
FYN	EFNA3	0.8582609785019573	
FYN	KLRC2	0.8516636985739204	
AGTR1	GCGR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.8638247395845513	
FYN	LCP2	0.8560021777996374	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B, SLCO1B1*5	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.8638247395845513	
CFTR	HGS	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA2	0.8638247395845513	
PDGFRB	NRG1	0.8513157657742707	
EGFR	PDGFA	0.853898073011433	
PDGFRB	FGF9	0.8638403979636339	
ABCB1	rs2229109	0.99	
Flurbiprofen	UGT1A1	1	
MAPK3	TRIM24	0.8535455451872151	
AGTR1	HTR2B	0.8354005520686607	
EGFR	ARPC4	0.8628338709774962	
rs6759892	UGT1A10	0.9043820750088043	
EPHA2	LYN	0.8566409204013108	
MAPK3	KIAA1549	0.8535455451872151	
CFTR	rs74503330	0.99	
SRC	CD28	0.8421959353175904	
CFTR	AVP	0.863443159858049	
Ibuprofen	CYP2C9	1	
CYP2C9	rs7089580	0.99	
ABCC4	rs1751034	0.99	
Dasatinib	ABL2	1	
KDR	PIK3R1	0.8468891025876341	
UGT1A8	rs6431558	0.8775210229989678	
EGFR	GFRA3	0.847975029345742	
EPHA2	EFNB1	0.8459813396079446	
CYP3A4	rs4646440	0.8775210229989678	
AGTR1	EDN2	0.833320481754769	
rs1042640	UGT1A	0.9414801494009999	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ITIH1	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GABBR1	0.8638247395845513	
UGT1A7	UGT1A7*3	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.8638247395845513	
VEGFA	SHB	0.8665296810183852	
UGT1A1	rs10929302	0.9135172474836407	
CFTR	BIN1	0.863443159858049	
Indomethacin	PTGS2	1	
