CNR1	alcohol use disorder	
CYP2E1	alcohol use disorder	
TAS2R13	alcohol use disorder	
NPSR1	alcohol use disorder	
DRD2	alcohol use disorder	
CRHR1	alcohol use disorder	
SLC6A4	alcohol use disorder	
PIK3R1	alcohol use disorder	
CRH	alcohol use disorder	
TACR1	alcohol use disorder	
AVP	alcohol use disorder	
ANKK1	alcohol use disorder	
OPRM1	alcohol use disorder	
HTR5A	LPAR5	0.8252219011119977	
ADRA2A	GNAZ	0.8567933402497072	
OPRM1	rs2075572	0.99	
CHRM3	HRH1	0.8354005520686607	
HRH4	CXCL10	0.8407682499807351	
Risperidone	ADRA1B	1	
ADRB1	ADORA2B	0.8354005520686607	
HTR2A	NMB	0.8407682499807351	
HTR5A	CXCR1	0.8354005520686607	
Paliperidone	CYP3A4	1	
ADRA1D	GHRL	0.8407682499807351	
ADRB3	GCGR	0.8354005520686607	
ADRA1B	GNA12	0.8526462282435747	
HRH4	CCL25	0.8407682499807351	
HRH4	S1PR1	0.8252219011119977	
DRD4	CCL21	0.8407682499807351	
HTR1A	CXCR4	0.8354005520686607	
OPRM1	PF4	0.8407682499807351	
Pramipexole	HTR2A	1	
DRD2	NPBWR2	0.8354005520686607	
CHRM5	P2RY1	0.8354005520686607	
CHRM4	NPY1R	0.8252219011119977	
ADRA1B	AGT	0.8407682499807351	
DRD4	HTR1E	0.8354005520686607	
HRH4	NMS	0.8407682499807351	
GRIN2B	CAMK2G	0.8516636985739204	
OPRD1	OXGR1	0.8354005520686607	
CHRM3	EDNRB	0.8252219011119977	
CHRM5	GRPR	0.8354005520686607	
DRD1	GIP	0.8407682499807351	
HRH4	rs4483927	0.99	
Memantine	GRIN2A	1	
CHRM4	ANXA1	0.8459813396079446	
ADRA1D	HCRTR2	0.8252219011119977	
CYP2B6	rs7254579	0.99	
DRD2	HCAR2	0.8354005520686607	
OPRM1	CCR5	0.8354005520686607	
HTR1F	HCAR2	0.8354005520686607	
HTR1B	C3AR1	0.8354005520686607	
HTR2A	GNRHR2	0.8354005520686607	
DRD3	KNG1	0.8407682499807351	
HTR1A	OXER1	0.8252219011119977	
OPRD1	CCL20	0.8407682499807351	
HTR5A	GRM6	0.8252219011119977	
OPRD1	MCHR1	0.8354005520686607	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3, CYP2C9*5, CYP2C9*6, CYP2C9*8	0.99	
Risperidone	DRD4	1	
HTR1F	APP	0.8407682499807351	
GRIN2A	NEFL	0.8398120133516425	
HRH2	ADCYAP1	0.8407682499807351	
CHRM2	TAS2R40	0.8354005520686607	
CYP2D6	rs5030655	0.99	
HTR1A	PPY	0.833320481754769	
CYP2D6	rs1065852	0.99	
CHRM1	GRP	0.8407682499807351	
ADRA2C	rs61767072	0.99	
HTR1A	CCL20	0.8407682499807351	
DRD3	TAS2R14	0.8354005520686607	
Citalopram	CYP2C19	1	
HTR1D	HEBP1	0.8407682499807351	
APOC1	rs7412	0.8107944315918569	
HTR1E	MTNR1B	0.8252219011119977	
HTR5A	TAS2R14	0.8354005520686607	
HTR2A	GHRL	0.8407682499807351	
HTR1D	FPR1	0.8354005520686607	
OPRM1	GNAZ	0.8590892466877382	
HTR1D	CXCL2	0.8407682499807351	
OPRK1	GNG2	0.8526462282435747	
HRH4	SSTR4	0.8354005520686607	
Imipramine	SLC6A3	1	
DRD4	NPBWR1	0.8354005520686607	
HTR1B	CCL20	0.8407682499807351	
DRD3	HTR1B	0.8354005520686607	
HTR2B	UTS2	0.8407682499807351	
HTR1B	GRM7	0.8252219011119977	
OPRD1	CCL21	0.8407682499807351	
NDUFC2	NDUFAF7	0.8484307441293273	
CHRM2	CNR2	0.8354005520686607	
Perphenazine	CYP2D6	1	
OPRK1	NMS	0.8407682499807351	
OPRK1	GRM8	0.8252219011119977	
Doxepin	SLC6A4	1	
GRIN2B	GRB2	0.8670770245481983	
HTR2A	SAA1	0.833320481754769	
ADRB3	GCG	0.849809014912932	
CYP2D6	rs567606867	0.99	
HRH1	NMS	0.8407682499807351	
GRIN2A	CAMK2D	0.8516636985739204	
OPRD1	HTR1D	0.8354005520686607	
OPRK1	BDKRB1	0.8354005520686607	
HTR2B	GRP	0.8407682499807351	
HTR1F	NPBWR2	0.8354005520686607	
CHRM2	CCL21	0.8407682499807351	
DRD2	TAS2R50	0.8354005520686607	
CYP1A2	rs72547517	0.99	
HTR2A	GPR17	0.8252219011119977	
CHRM4	TAS2R39	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTN	0.8638247395845513	
OPRM1	MTNR1B	0.8252219011119977	
HTR2B	CCK	0.833320481754769	
CYP2D6	rs3892097	0.99	
CHRM2	TAS2R16	0.8354005520686607	
HTR5A	PTGER3	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FN1	0.8638247395845513	
DRD3	CXCL13	0.8407682499807351	
HTR1A	TAS2R7	0.8354005520686607	
HTR2B	GPR17	0.8252219011119977	
DRD2	CXCR6	0.8354005520686607	
DRD1	ADRB1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.8638247395845513	
HTR6	PTH1R	0.8354005520686607	
rs4987161	CYP3A	0.9801	
Pramipexole	ADRA2C	1	
ADRB3	GIP	0.8407682499807351	
Doxepin	CHRM2	1	
ADRB2	CRH	0.8407682499807351	
HRH4	TAS2R46	0.8354005520686607	
DRD2	S1PR1	0.8252219011119977	
CYP1A2	rs2470890	0.99	
HTR7	ADRB3	0.8354005520686607	
OPRD1	S1PR4	0.8252219011119977	
Citalopram	SLC6A2	1	
DRD1	GCG	0.849809014912932	
CHRM1	KNG1	0.8407682499807351	
DRD4	LPAR1	0.8252219011119977	
CHRM5	LPAR2	0.8252219011119977	
CHRM2	TAS2R1	0.8354005520686607	
CYP2C9	rs1057910	0.99	
ADRB2	GNG2	0.8526462282435747	
HTR1B	APLN	0.8407682499807351	
OPRM1	GPR18	0.8354005520686607	
HTR1E	GRM7	0.8252219011119977	
HTR5A	SSTR4	0.8354005520686607	
CHRM3	QRFPR	0.8252219011119977	
DRD3	S1PR3	0.8252219011119977	
ADRA1B	GRP	0.8407682499807351	
HTR2B	FFAR1	0.8354005520686607	
Carvedilol	NPPB	1	
HRH1	P2RY11	0.8252219011119977	
Doxepin	HTR2A	1	
VEGFA	rs35864111	0.99	
CHRM1	CASR	0.8354005520686607	
CHRM1	GCGR	0.8354005520686607	
HTR1A	GABBR1	0.8252219011119977	
DRD4	GRM7	0.8252219011119977	
HRH4	POMC	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KCNMA1	0.818984274335209	
HTR1D	CCR7	0.8354005520686607	
HRH4	CXCR5	0.8354005520686607	
DRD5	GPR150	0.8252219011119977	
GJA1	GJA1	0.8533279570218225	
DRD4	ADRA2C	0.8252219011119977	
CHRM4	S1PR2	0.8252219011119977	
HTR6	PTH2	0.8407682499807351	
CYP1A2	CYP1A2*1A, CYP1A2*1F	0.99	
OPRD1	KNG1	0.8407682499807351	
DRD5	VIPR2	0.8252219011119977	
CHRM2	P2RY4	0.8354005520686607	
Propranolol	CYP1A1	1	
ADRB2	FCHO1	0.8583026292860755	
GLP2R	FSHB	0.8407682499807351	
GLP2R	PTGER4	0.8252219011119977	
CYP3A4	rs12721627	0.99	
HTR1F	TAS2R45	0.8354005520686607	
ADRB2	CALCA	0.8407682499807351	
SLC22A1	rs2282143	0.99	
HTR1A	rs878567	0.99	
CHRM4	HCAR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA2	0.8638247395845513	
Amitriptyline	CHRM1	1	
HTR1D	ANXA1	0.8459813396079446	
ADRA1B	GPR17	0.8252219011119977	
CHRM4	GNG2	0.8526462282435747	
DRD4	S1PR1	0.8252219011119977	
HTR2A	CCKBR	0.8354005520686607	
CHRM4	TAS2R1	0.8354005520686607	
HRH4	TAS2R3	0.8354005520686607	
HTR1A	APLN	0.8407682499807351	
CHRM5	MLNR	0.8354005520686607	
DRD2	HCAR1	0.8354005520686607	
HTR5A	CXCL12	0.8407682499807351	
ADRB3	FSHR	0.8354005520686607	
DRD3	GALR3	0.8252219011119977	
ADRB2	FNBP1	0.863443159858049	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.8638247395845513	
ADRA1D	GRM5	0.8354005520686607	
VEGFA	SHB	0.8665296810183852	
Carvedilol	CYP2D6	1	
CHRM2	CCR1	0.8354005520686607	
DRD2	TAS2R45	0.8354005520686607	
Doxepin	HRH4	1	
CHRM4	NPY2R	0.8252219011119977	
HRH4	GNAT3	0.8526462282435747	
Tramadol	OPRK1	1	
Perphenazine	CYP2C19	1	
HTR2B	GNRHR2	0.8354005520686607	
HTR6	GPR150	0.8252219011119977	
HTR2B	GPR4	0.8354005520686607	
DRD2	TAS2R16	0.8354005520686607	
CHRM5	PTGER1	0.8252219011119977	
CHRM2	CXCR3	0.8354005520686607	
DRD4	CXCR4	0.8354005520686607	
ADRA1D	KISS1R	0.8252219011119977	
HTR1A	TAS2R43	0.8354005520686607	
HTR6	MC3R	0.8252219011119977	
OPRM1	ADORA3	0.8354005520686607	
ADRA1B	EDN1	0.833320481754769	
HRH2	PTHLH	0.8407682499807351	
CHRM2	VAMP2	0.863443159858049	
CHRM3	XCR1	0.8252219011119977	
ADRA1B	FFAR3	0.8354005520686607	
OPRM1	GRM2	0.8252219011119977	
CHRM4	OPRD1	0.8354005520686607	
OPRM1	GPR55	0.8354005520686607	
CHRM5	XCL1	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CDCP1	0.8638247395845513	
DRD2	GNAI3	0.8526462282435747	
DRD2	rs4460839	0.99	
HTR1E	ADRA2B	0.8252219011119977	
HTR2C	EDN3	0.833320481754769	
OPRM1	CCL28	0.8407682499807351	
OPRK1	SUCNR1	0.8354005520686607	
ADRA1D	OPN4	0.8354005520686607	
HTR1A	TAS2R45	0.8354005520686607	
HTR1B	RXFP4	0.8354005520686607	
NDUFC2	NDUFV2	0.8370620429147057	
PTGS1	rs1330344	0.99	
DRD4	RLN3	0.8459813396079446	
HTR1A	HCAR1	0.8354005520686607	
HTR1E	APP	0.8407682499807351	
ADRA1B	SAA1	0.833320481754769	
ADRB2	GPR32	0.8252219011119977	
CHRM2	SLC18A3	0.863443159858049	
Ropinirole	HTR2C	1	
ADRB3	PTGIR	0.8354005520686607	
HTR5A	TAS2R42	0.8354005520686607	
ADRB3	GNG2	0.8526462282435747	
HTR1A	CCR9	0.8354005520686607	
HTR2C	GNA15	0.8595571341704282	
OPRK1	NPY1R	0.8252219011119977	
CYP2C9	CYP2C9*1, CYP2C9*11, CYP2C9*2, CYP2C9*3, CYP2C9*5, CYP2C9*6	0.99	
SLC22A1	rs34130495	0.99	
HTR1E	CXCL2	0.8407682499807351	
GLP2R	HTR7	0.8354005520686607	
CHRM5	LPAR6	0.8354005520686607	
HTR6	RLN3	0.8407682499807351	
HRH4	NPY5R	0.8252219011119977	
OPRK1	APLNR	0.8354005520686607	
HRH4	CXCR3	0.8354005520686607	
CHRM5	OPN4	0.8354005520686607	
HTR2B	EDN3	0.833320481754769	
OPRD1	GNAT3	0.8526462282435747	
HTR5A	ADORA1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PALB2	0.8638247395845513	
OPRM1	MCHR1	0.8354005520686607	
GRIN1	EFNB3	0.8526462282435747	
CHRM4	HCAR3	0.8354005520686607	
DRD1	RAMP2	0.8421959353175904	
HTR1B	C5AR1	0.8354005520686607	
ADRA1B	complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	0.904977499353	
CHRM4	CORT	0.8407682499807351	
CYP2A6	rs8192720	0.99	
HRH1	QRFPR	0.8252219011119977	
HRH4	NPB	0.8407682499807351	
HTR1D	LPAR5	0.8252219011119977	
HTR5A	HRH4	0.8354005520686607	
CHRM4	CCL16	0.8407682499807351	
HTR1F	FPR2	0.8354005520686607	
HTR2B	KISS1R	0.8252219011119977	
HTR2C	GAST	0.8407682499807351	
CHRM2	TAS2R41	0.8354005520686607	
HTR1D	ADRA2A	0.8252219011119977	
CHRM4	GPER1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLA2G4F	0.8638247395845513	
HTR1A	SSTR2	0.8354005520686607	
HRH4	PDYN	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOA4	0.8638247395845513	
DRD1	PTH	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CRB1	0.818984274335209	
CYP3A4	rs28371759	0.99	
Rotigotine	ADRA2B	1	
GRIN1	HRAS	0.852724204446584	
Rotigotine	CYP2D6	1	
ADRA2A	ADRA2C	0.8459813396079446	
HRH1	GPRC6A	0.8252219011119977	
CHRM3	GNG2	0.8526462282435747	
HTR1A	C5	0.8407682499807351	
HTR1A	CCL27	0.8407682499807351	
ADRB3	PTGER2	0.8252219011119977	
ADRB3	GPR25	0.8252219011119977	
HTR1B	ANXA1	0.8459813396079446	
CHRM2	ANXA1	0.8459813396079446	
GLP2R	IAPP	0.8407682499807351	
HTR1D	GNG2	0.8526462282435747	
HTR6	MC1R	0.8252219011119977	
DRD3	CXCR5	0.8354005520686607	
OPRM1	KNG1	0.8407682499807351	
CHRM2	NPBWR1	0.8354005520686607	
HTR1E	GRM6	0.8252219011119977	
ADRB1	DRD5	0.8354005520686607	
VEGFA	KDR	0.8695419162896381	
HTR2A	LPAR5	0.8252219011119977	
HRH4	LPAR1	0.8252219011119977	
HRH1	F2RL2	0.8252219011119977	
HTR1E	CCR3	0.8354005520686607	
ADRA1D	GNB1	0.8632667287580127	
DRD4	TAS2R38	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.8638247395845513	
DRD4	P2RY13	0.8354005520686607	
OPRD1	C5AR1	0.8354005520686607	
OPRK1	NPY5R	0.8252219011119977	
GLP2R	RAMP3	0.8421959353175904	
HTR2C	NPFFR2	0.8252219011119977	
CYP1A2	rs762551	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
DRD5	GNAS	0.8549476386052599	
DRD3	PTGDR2	0.8252219011119977	
HTR1D	GALR3	0.8252219011119977	
OPRK1	CXCL1	0.8407682499807351	
HTR2B	P2RY1	0.8354005520686607	
HTR5A	GNAI3	0.8526462282435747	
GLP2R	ADM2	0.8407682499807351	
HTR2B	P2RY10	0.8354005520686607	
HRH4	GRM4	0.8252219011119977	
OPRD1	NPY5R	0.8252219011119977	
HTR1E	OXGR1	0.8354005520686607	
HRH1	TAC1	0.833320481754769	
HTR1A	GPR17	0.8252219011119977	
Olanzapine	DRD1	1	
HRH2	GPR20	0.8252219011119977	
GRIN1	SOS1	0.8672683872743503	
HTR1B	FPR3	0.8354005520686607	
HTR7	PTH	0.8407682499807351	
HRH1	GHRL	0.8407682499807351	
ADRA2A	GNB1	0.8626329038096527	
DRD2	rs12364283	0.99	
CHRM1	PTGER1	0.8252219011119977	
DRD3	GNG2	0.8526462282435747	
HTR7	MC1R	0.8252219011119977	
ADRB1	RLN3	0.8407682499807351	
ADRA1D	GAST	0.8407682499807351	
DRD5	RLN2	0.8459813396079446	
ADRA1D	MLNR	0.8354005520686607	
ADRA1D	NPFFR1	0.8252219011119977	
HTR7	GPR27	0.8252219011119977	
HTR1E	CNR2	0.8354005520686607	
HTR2A	GPR65	0.8354005520686607	
DRD2	TAS2R14	0.8354005520686607	
ITGA2	rs1126643	0.8551864921887058	
DRD5	RAMP3	0.8421959353175904	
OPRD1	NPY2R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF232	0.818984274335209	
HRH1	TRH	0.8407682499807351	
OPRD1	S1PR5	0.8252219011119977	
EDN1	rs5370	0.8249872769372213	
ADRA1A	GNB1	0.8632667287580127	
DRD4	CHRM4	0.8354005520686607	
CHRM3	UTS2R	0.8354005520686607	
HTR6	RXFP2	0.8354005520686607	
HTR1E	CCR5	0.8354005520686607	
HTR5A	DRD4	0.8354005520686607	
DRD4	NPW	0.8407682499807351	
Propranolol	ADRB1	1	
HRH1	PROKR2	0.8354005520686607	
OPRK1	HTR5A	0.8354005520686607	
DRD2	CCL23	0.8407682499807351	
NDUFC2	NDUFS1	0.8370620429147057	
Rotigotine	DRD2	1	
ADRB2	PTH	0.8407682499807351	
OPRD1	CXCL16	0.8407682499807351	
GRIN2A	SHC1	0.8601235081501506	
ADRB2	EGFR	0.863443159858049	
HTR1B	CXCR3	0.8354005520686607	
Salmeterol	CYP3A5	1	
CHRM5	GNRHR	0.8354005520686607	
HRH2	GHRHR	0.8354005520686607	
HTR2B	GNRHR	0.8354005520686607	
CHRM1	GHSR	0.8354005520686607	
ADRA1D	AVPR1B	0.8354005520686607	
HTR1E	NPBWR2	0.8354005520686607	
GLP2R	ADCYAP1R1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OBSL1	0.818984274335209	
HTR7	RXFP1	0.8354005520686607	
CHRM4	GNAT3	0.8526462282435747	
OPRK1	OXGR1	0.8354005520686607	
CHRM5	LTB4R	0.8252219011119977	
HTR1A	TAS2R31	0.8354005520686607	
OPRD1	LPAR2	0.8252219011119977	
HTR1E	TAS2R1	0.8354005520686607	
CHRM1	EDNRB	0.8252219011119977	
HRH1	GPR4	0.8354005520686607	
CHRM5	F2RL3	0.8252219011119977	
ABCB1	ABCB1*2(PMID:11503014)	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.8638247395845513	
CHRM2	PDYN	0.8407682499807351	
Apomorphine	ADRA2B	1	
Olanzapine	HTR7	1	
ADRB2	GCG	0.849809014912932	
DRD2	TAS2R46	0.8354005520686607	
DRD4	GNAI3	0.8526462282435747	
OPRK1	DRD3	0.8354005520686607	
HRH2	GCG	0.849809014912932	
DRD1	HTR7	0.8354005520686607	
HRH2	GPR27	0.8252219011119977	
ADRA1D	NMUR2	0.8421959353175904	
ADRA1D	P2RY11	0.8252219011119977	
GLP2R	GHRHR	0.8354005520686607	
CHRM4	KNG1	0.8407682499807351	
ADRB3	PTH2R	0.8354005520686607	
HRH4	NMUR1	0.8354005520686607	
CHRM5	CYSLTR1	0.8252219011119977	
HTR1D	CCR1	0.8354005520686607	
HTR2A	rs7997012	0.99	
HTR7	FSHR	0.8354005520686607	
HTR2A	PTAFR	0.8252219011119977	
ADRB3	RLN2	0.8459813396079446	
HTR1A	ADORA1	0.8354005520686607	
DRD2	TAS2R4	0.8354005520686607	
CALM3	GRIN2A	0.8319100629186602	
ADRB3	GPR20	0.8252219011119977	
HTR1A	GAL	0.833320481754769	
ADRB3	IAPP	0.8407682499807351	
ADRB3	TSHR	0.8354005520686607	
HTR1F	CXCR3	0.8354005520686607	
ADRA1D	LPAR1	0.8252219011119977	
HTR1F	OXGR1	0.8354005520686607	
ADRB1	VIP	0.833320481754769	
HTR5A	CHRM4	0.8354005520686607	
Ropinirole	HTR1B	1	
Amitriptyline	KCNA1	1	
OPRD1	GALR3	0.8252219011119977	
HTR7	NPS	0.8407682499807351	
NDUFC2	MT-ND6	0.8478585989808651	
Amitriptyline	HRH1	1	
SLC22A1	rs594709	0.99	
HTR2C	GCG	0.8407682499807351	
DRD3	GPER1	0.8354005520686607	
HTR1E	CHRM4	0.8354005520686607	
HTR2C	GRPR	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*14, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*4xN, CYP2D6*5, CYP2D6*6	0.99	
DRD1	INSL3	0.8407682499807351	
DRD5	GHRH	0.8407682499807351	
Amitriptyline	HRH4	1	
ADRA1D	TAC3	0.833320481754769	
ABCB1	rs4148738	0.99	
DRD3	TAS2R31	0.8354005520686607	
CHRM4	ADORA1	0.8354005520686607	
CHRM4	NPY4R	0.8252219011119977	
HTR2A	APP	0.833320481754769	
CHRM1	TACR2	0.8252219011119977	
CHRM2	ACTR2	0.8628338709774962	
DRD4	CXCL8	0.8459813396079446	
HRH4	TAS2R30	0.8354005520686607	
CHRM4	MT-RNR2	0.8459813396079446	
DRD4	INSL5	0.8407682499807351	
ADRB2	TGOLN2	0.863443159858049	
HTR1F	ADRA2C	0.8252219011119977	
CHRM2	ITSN1	0.8664623807565615	
DRD1	GHRH	0.8407682499807351	
HTR1A	NPBWR1	0.8354005520686607	
HRH4	OPRK1	0.8354005520686607	
HTR2C	APP	0.833320481754769	
Carvedilol	ABCB1	1	
ADRA1D	BDKRB1	0.8354005520686607	
HTR1A	rs6295	0.99	
HTR1B	TAS2R3	0.8354005520686607	
Amitriptyline	CYP2E1	1	
HRH2	GPR45	0.8252219011119977	
CHRM5	UTS2B	0.8407682499807351	
ADRA1A	FFAR1	0.8354005520686607	
DRD2	SST	0.8407682499807351	
CHRM2	AP2A1	0.8669217489920482	
Paroxetine	CHRM3	1	
CHRM2	UBC	0.863443159858049	
HRH4	TAS2R8	0.8354005520686607	
CHRM2	P2RY13	0.8354005520686607	
OPRM1	GNAI2	0.864131010283043	
Imipramine	HTR2A	1	
HTR1F	CXCR1	0.8354005520686607	
HTR2C	GNG2	0.8526462282435747	
HTR2A	CCKAR	0.8252219011119977	
OPRD1	APLNR	0.8354005520686607	
CHRM4	DRD4	0.8354005520686607	
CYP2C19	CYP2C19*1, CYP2C19*17, CYP2C19*2, CYP2C19*3, CYP2C19*4	0.99	
HTR6	GCGR	0.8354005520686607	
ADRB1	rs1801253	0.99	
XDH	rs1594160	0.99	
DRD2	PDYN	0.8407682499807351	
CHRM2	GRB2	0.863443159858049	
CYP1A1	rs2606345	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT5	0.8638247395845513	
HTR1A	GRM4	0.8252219011119977	
ADRA1B	PROKR1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DGKG	0.8638247395845513	
HTR1F	NMUR2	0.8421959353175904	
HTR7	DRD5	0.8354005520686607	
ADRA1D	GNRHR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HP	0.818984274335209	
HTR2C	KISS1R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT6B	0.8638247395845513	
HTR2C	rs2497538	0.99	
CHRM2	TRIP10	0.863443159858049	
rs429358	APOC1	0.829786598184209	
Metoprolol	ADRB2	1	
CHRM2	CXCL1	0.8407682499807351	
HTR1E	P2RY12	0.8354005520686607	
HTR1D	NMUR1	0.8354005520686607	
OPRK1	TAS2R4	0.8354005520686607	
OPRK1	SSTR2	0.8354005520686607	
ADRB2	BIN1	0.863443159858049	
HRH1	UTS2	0.8407682499807351	
ADRA1B	KNG1	0.8407682499807351	
HRH1	NPFF	0.833320481754769	
HRH4	PTGDR2	0.8252219011119977	
VEGFA	rs2010963	0.99	
DRD3	SSTR4	0.8354005520686607	
HTR2C	GNRHR	0.8354005520686607	
HTR2C	UTS2B	0.8407682499807351	
CHRM3	UTS2B	0.8407682499807351	
OPRK1	TAS2R40	0.8354005520686607	
HTR2B	SAA1	0.833320481754769	
ADRA1D	GNA15	0.8595571341704282	
HTR2B	EDN2	0.833320481754769	
OPRK1	SST	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KLK3	0.818984274335209	
CYP1A2	rs2069514	0.99	
HTR1A	PPBP	0.8407682499807351	
CHRM3	LPAR2	0.8252219011119977	
HRH4	TAS2R39	0.8354005520686607	
DRD2	HTR1A	0.8354005520686607	
OPRD1	GABBR1	0.8252219011119977	
OPRK1	CNR1	0.8354005520686607	
Levodopa	DRD4	1	
GLP2R	PTH2	0.8407682499807351	
Amitriptyline	CYP2C9	1	
HTR2A	TACR2	0.8252219011119977	
Risperidone	HTR1A	1	
HTR1E	RLN3	0.8459813396079446	
HTR1F	HRH3	0.8354005520686607	
DRD4	ADORA1	0.8354005520686607	
OPRD1	CXCL5	0.8407682499807351	
HTR1D	GRM4	0.8252219011119977	
GLP2R	GNG2	0.8526462282435747	
Carvedilol	ADRB2	1	
HTR1E	SUCNR1	0.8354005520686607	
