CCR5	Pulmonary edema	
FPR1	Pulmonary edema	
EGLN1	Pulmonary edema	
VEGFA	High altitude pulmonary edema	
F2R	Pulmonary edema	
VEGFA	Pulmonary edema	
TH	High altitude pulmonary edema	
HIF1A	Pulmonary edema	
REN	High altitude pulmonary edema	
ADRB2	Pulmonary edema	
FSHR	Pulmonary edema	
ALB	Pulmonary edema	
EDNRA	High altitude pulmonary edema	
EDN1	High altitude pulmonary edema	
ROCK1	Pulmonary edema	
AGTR1	High altitude pulmonary edema	
ADRB2	High altitude pulmonary edema	
GHRH	Pulmonary edema	
CXCL8	Pulmonary edema	
ACE	High altitude pulmonary edema	
CXCL2	Pulmonary edema	
EGLN1	High altitude pulmonary edema	
P2RY12	GNAI3	0.8632667287580127	
HTR2C	LPAR5	0.8252219011119977	
ADRA1B	CYSLTR2	0.8252219011119977	
HTR1B	NPY	0.833320481754769	
HTR1A	HCAR3	0.8354005520686607	
Pergolide	ADRA2A	1	
ADRB2	KIAA0319	0.863443159858049	
DRD3	NPY1R	0.8252219011119977	
HTR2A	P2RY1	0.8354005520686607	
DRD2	TAS2R20	0.8354005520686607	
ADRB1	PTH2	0.8407682499807351	
P2RY12	P2RY12	0.849809014912932	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
ADRA1B	QRFP	0.833320481754769	
CYP3A4	rs4986910	0.99	
ADRA1A	F2RL3	0.8252219011119977	
ADRA1B	UTS2B	0.8407682499807351	
CYP2C19	rs12768009	0.99	
ABCB1	rs2235040	0.99	
ADRA1B	ADRA1A	0.849809014912932	
DRD5	FSHB	0.8407682499807351	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
HTR2C	HRH1	0.8354005520686607	
HTR1D	CASR	0.8354005520686607	
Pramipexole	SLC22A1	1	
P2RY12	CCL23	0.8407682499807351	
DRD4	MCHR2	0.8354005520686607	
DRD3	ANXA1	0.8459813396079446	
VEGFA	rs833061	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
SLCO1B1	rs4363657	0.99	
DRD4	GPER1	0.8354005520686607	
DRD4	CORT	0.8407682499807351	
ADRA1B	F2R	0.8252219011119977	
HTR1D	PYY	0.833320481754769	
HTR2A	ADRA1D	0.8354005520686607	
AGTR1	NPFF	0.833320481754769	
ADRA2B	ANXA1	0.8407682499807351	
ADRB1	HRH2	0.8354005520686607	
HTR1A	GNAI3	0.8526462282435747	
HTR2A	CYSLTR2	0.8252219011119977	
DRD4	PF4	0.8407682499807351	
ADRB2	CLTA	0.8664089236866457	
HTR1B	CXCL3	0.8407682499807351	
P2RY12	OPRL1	0.8354005520686607	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
Ropinirole	DRD1	1	
ADRA1B	GPR132	0.8354005520686607	
ADRB2	HTR7	0.8354005520686607	
HTR1A	CNR1	0.8354005520686607	
ADRA1D	EDNRA	0.8252219011119977	
P2RY12	BDKRB1	0.8354005520686607	
DRD5	ADORA2B	0.8354005520686607	
CYP2C9	rs56165452	0.99	
CYP3A4	rs35599367	0.9135172474836407	
ANKK1	rs7118900	0.9702989999999999	
DRD2	NPB	0.8407682499807351	
DRD4	POMC	0.8407682499807351	
DRD3	APLN	0.8407682499807351	
DRD2	MCHR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GCN1L1	0.818984274335209	
Carvedilol	HIF1A	1	
CYP3A4	rs35599367	0.99	
DRD4	FPR2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AHSG	0.818984274335209	
DRD4	RXFP4	0.8354005520686607	
HTR2B	LPAR1	0.8252219011119977	
DRD2	PPY	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC1A5	0.818984274335209	
ADRB1	GIPR	0.8354005520686607	
P2RY12	P2RY13	0.8354005520686607	
ADRA2A	GNAZ	0.8567933402497072	
P2RY12	CCR6	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.99	
HTR2A	GHSR	0.8354005520686607	
CES1	rs71647871	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.818984274335209	
HTR1A	TAS2R14	0.8354005520686607	
ABCB1	rs4148739	0.99	
HTR1A	S1PR2	0.8252219011119977	
CYP2C9	rs1799853	0.99	
HTR2B	LPAR2	0.8252219011119977	
ADRA1A	GNA11	0.8595571341704282	
PPARG	MED20	0.7989062580087279	
HTR1B	OPRD1	0.8354005520686607	
ADRB1	ADORA2B	0.8354005520686607	
HTR2A	NMB	0.8407682499807351	
HTR1B	CORT	0.8407682499807351	
DRD2	NPW	0.8407682499807351	
ADRA2C	GNAT3	0.8497082254156562	
ADRA1B	EDN2	0.833320481754769	
ADRA1D	TRHR	0.8354005520686607	
ADRB1	rs1801252	0.99	
ADRA1D	GHRL	0.8407682499807351	
DRD4	PPBP	0.8407682499807351	
ADRA1B	GNA12	0.8526462282435747	
DRD4	CXCL9	0.8407682499807351	
DRD1	LHCGR	0.8354005520686607	
DRD3	PYY	0.833320481754769	
Candesartan	UGT1A3	1	
ADRA1D	OXTR	0.8252219011119977	
DRD4	CCL21	0.8407682499807351	
P2RY12	HCAR3	0.8354005520686607	
HTR2B	GNA11	0.8595571341704282	
HTR1A	CXCR4	0.8354005520686607	
ADRB2	PTH2	0.8407682499807351	
DRD2	TAS2R41	0.8354005520686607	
Pramipexole	HTR2A	1	
VEGFA	PIK3CB	0.8468891025876341	
DRD2	NPBWR2	0.8354005520686607	
ADRA1B	AGT	0.8407682499807351	
DRD4	HTR1E	0.8354005520686607	
ADRB1	PTGDR	0.8252219011119977	
ABCB1	rs1045642	0.99	
DRD2	TAS2R8	0.8354005520686607	
DRD3	CXCL5	0.8407682499807351	
ABCB1	rs10248420	0.99	
ADRB2	HIP1	0.8628338709774962	
HTR1A	CXCL3	0.8407682499807351	
DRD1	GIP	0.8407682499807351	
DRD2	NPY1R	0.8252219011119977	
VEGFA	rs699947	0.99	
DRD1	FSHB	0.8407682499807351	
ADRB2	LDLRAP1	0.863443159858049	
DRD3	CCR10	0.8354005520686607	
ADRA1D	HCRTR2	0.8252219011119977	
DRD3	NPBWR1	0.8354005520686607	
ADRB2	DVL2	0.863443159858049	
HTR1D	C5	0.8407682499807351	
DRD2	HCAR2	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
CYP3A4	CYP3A4*1, CYP3A4*4	0.9509900498999999	
HTR1B	C3AR1	0.8354005520686607	
HTR2A	GNRHR2	0.8354005520686607	
DRD4	CCR7	0.8354005520686607	
DRD1	ADCYAP1	0.8407682499807351	
DRD3	KNG1	0.8407682499807351	
P2RY12	GNAI2	0.8632667287580127	
ADRA1D	GNAQ	0.8595571341704282	
HTR1A	OXER1	0.8252219011119977	
HTR1B	CCR3	0.8354005520686607	
AGTR1	UTS2	0.8407682499807351	
HIF1A	EGLN1	0.8497082254156562	
AGTR1	GRP	0.8407682499807351	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3, CYP2C9*5, CYP2C9*6, CYP2C9*8	0.99	
HTR2A	NTSR1	0.8252219011119977	
ADRA1D	OXT	0.833320481754769	
HTR2A	F2RL2	0.8252219011119977	
ABCG2	rs12505410	0.99	
HTR1A	NPY	0.833320481754769	
HTR1D	SSTR2	0.8354005520686607	
HTR2B	LTB4R	0.8252219011119977	
ADRA1A	ADRA1D	0.849809014912932	
Pramipexole	HTR1D	1	
HTR2A	PTGFR	0.8252219011119977	
HTR2C	GNRH1	0.8407682499807351	
HTR1D	LPAR3	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ALB	0.8638247395845513	
DRD2	CXCL5	0.8407682499807351	
CYP2D6	rs5030655	0.99	
HTR2B	MLNR	0.8354005520686607	
AGTR1	FFAR3	0.8354005520686607	
VEGFA	CRK	0.8433517079273392	
P2RY12	TAS2R3	0.8354005520686607	
HTR1A	PPY	0.833320481754769	
P2RY12	CCR10	0.8354005520686607	
HTR1B	NPW	0.8407682499807351	
CYP2D6	rs1065852	0.99	
ADRA2C	rs61767072	0.99	
ADRA1A	CCKBR	0.8354005520686607	
ADRB1	GNB1	0.8526462282435747	
HTR2B	NTSR1	0.8252219011119977	
HTR1A	CCL20	0.8407682499807351	
DRD5	GPHA2	0.8407682499807351	
DRD3	TAS2R14	0.8354005520686607	
HTR1D	TAS2R20	0.8354005520686607	
HTR1D	HEBP1	0.8407682499807351	
ADRA1A	OPN4	0.8354005520686607	
HTR1D	TAS2R41	0.8354005520686607	
HTR2A	GPRC6A	0.8252219011119977	
ADRB2	GPR84	0.8252219011119977	
APOC1	rs7412	0.8107944315918569	
ADRA1B	P2RY11	0.8252219011119977	
ADRA1A	PTAFR	0.8252219011119977	
HTR2A	GHRL	0.8407682499807351	
DRD4	SSTR3	0.8354005520686607	
DRD2	CXCL10	0.8407682499807351	
HTR1D	FPR1	0.8354005520686607	
Irbesartan	AGTR1	1	
HTR1A	ADRA2A	0.8252219011119977	
HTR1D	CXCL2	0.8407682499807351	
DRD4	HTR1D	0.8354005520686607	
HTR2C	P2RY1	0.8354005520686607	
DRD3	PMCH	0.8407682499807351	
AGTR1	rs5182	0.99	
ADRA1A	HRH1	0.8354005520686607	
HTR1B	CCR4	0.8354005520686607	
HTR2B	GRPR	0.8354005520686607	
HTR2C	NMUR2	0.8421959353175904	
DRD4	NPBWR1	0.8354005520686607	
HTR1B	OXGR1	0.8354005520686607	
HTR1B	CCL20	0.8407682499807351	
DRD3	HTR1B	0.8354005520686607	
HTR2B	UTS2	0.8407682499807351	
HTR1B	BDKRB2	0.8354005520686607	
HTR1B	GRM7	0.8252219011119977	
DRD3	NPY4R	0.8252219011119977	
CYP2D6	rs745746329	0.99	
NDUFC2	NDUFAF7	0.8484307441293273	
ADRB2	SLC2A8	0.863443159858049	
HTR2A	QRFPR	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.818984274335209	
AGTR1	GPR68	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.818984274335209	
HTR1B	AGTR2	0.8354005520686607	
DRD2	TAS2R10	0.8354005520686607	
CES1	rs8192935	0.99	
ABCB1	rs7787082	0.99	
HTR2A	PROKR1	0.8354005520686607	
HTR2A	HCRTR1	0.8252219011119977	
HTR2B	TAC3	0.833320481754769	
HTR2A	SAA1	0.833320481754769	
HTR1B	ADRA2B	0.8252219011119977	
P2RY12	SSTR3	0.8354005520686607	
Irbesartan	PTGS1	1	
DRD1	CALCR	0.8421959353175904	
ADRB1	MC5R	0.8252219011119977	
HTR1A	SSTR4	0.8354005520686607	
DRD1	RAMP3	0.8421959353175904	
ABCB1	rs4148740	0.99	
DRD2	MT-RNR2	0.8459813396079446	
PTGIR	TAAR1	0.8354005520686607	
HTR1D	CCL25	0.8407682499807351	
Epoprostenol	P2RY12	1	
CYP2D6	rs567606867	0.99	
DRD4	CCL28	0.8407682499807351	
ABCB1	rs10276036	0.99	
ADRB2	WNT5A	0.863443159858049	
DRD4	GALR1	0.8252219011119977	
VEGFA	HSP90AA1	0.8625501908282859	
DRD5	IAPP	0.8407682499807351	
HTR1A	CXCL10	0.8407682499807351	
HTR1B	GRM6	0.8252219011119977	
CYP3A4	rs2242480	0.9509900498999999	
HTR2A	LPAR2	0.8252219011119977	
HTR2B	GRP	0.8407682499807351	
HTR2B	CCKBR	0.8354005520686607	
P2RY12	CCR2	0.8354005520686607	
HTR1D	CCL20	0.8407682499807351	
DRD3	GABBR2	0.8252219011119977	
ADRA1B	LTB4R	0.8252219011119977	
CYP1A2	rs72547517	0.99	
DRD3	GRM4	0.8252219011119977	
DRD2	TAS2R50	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.818984274335209	
PTGIR	CALCR	0.8421959353175904	
HTR1A	TAS2R16	0.8354005520686607	
P2RY12	INSL5	0.8407682499807351	
HTR2A	GPR17	0.8252219011119977	
DRD4	GAL	0.833320481754769	
ADRA1B	TBXA2R	0.852724204446584	
ADRA2A	PMCH	0.833320481754769	
HTR1A	CCL19	0.8407682499807351	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.8775210229989678	
ABCC2	rs717620	0.99	
Carvedilol	KCNH2	1	
ADRA1A	NTSR2	0.8252219011119977	
HTR2B	CCK	0.833320481754769	
CYP2D6	rs3892097	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.8638247395845513	
HTR2B	AVPR1A	0.8354005520686607	
DRD2	CCR4	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10	0.99	
HTR1A	LPAR1	0.8252219011119977	
ADRA1A	CCL23	0.833320481754769	
P2RY12	HCAR2	0.8354005520686607	
DRD3	FPR2	0.8354005520686607	
HTR1D	HCAR3	0.8354005520686607	
DRD4	HTR1B	0.8354005520686607	
ADRB2	MC2R	0.8252219011119977	
P2RY12	LPAR3	0.8252219011119977	
HTR2C	ADRA1A	0.8354005520686607	
DRD3	CXCL13	0.8407682499807351	
DRD4	PDYN	0.8407682499807351	
ADRA2A	GNG2	0.8626329038096527	
HTR1A	TAS2R7	0.8354005520686607	
HTR2B	FFAR2	0.8354005520686607	
PTGIR	HTR7	0.8354005520686607	
HTR2B	GPR17	0.8252219011119977	
ADRB2	NECAP1	0.8664623807565615	
ADRB1	PTH2R	0.8354005520686607	
DRD2	CXCR6	0.8354005520686607	
DRD1	ADRB1	0.8354005520686607	
DRD4	GALR2	0.8252219011119977	
DRD5	HRH2	0.8354005520686607	
P2RY12	NPY	0.833320481754769	
rs4987161	CYP3A	0.9801	
Pramipexole	ADRA2C	1	
DRD5	NPS	0.8407682499807351	
ADRB1	LHB	0.8407682499807351	
DRD4	PTGER3	0.8252219011119977	
HTR2A	ADRA1A	0.8354005520686607	
DRD4	TAS2R1	0.8354005520686607	
PTGIR	PTH2	0.8407682499807351	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
HTR2B	CYSLTR2	0.8252219011119977	
ADRB2	CRH	0.8407682499807351	
DRD2	S1PR1	0.8252219011119977	
ADRA1A	APP	0.833320481754769	
HTR2A	AVPR1A	0.8354005520686607	
CYP1A2	rs2470890	0.99	
DRD1	GNG2	0.8526462282435747	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.818984274335209	
ADRB2	IAPP	0.8407682499807351	
DRD3	CCR7	0.8354005520686607	
rs4987161	CYP3A4	0.8863848717161291	
CYP3A4	rs2242480	0.99	
DRD1	GCG	0.849809014912932	
HTR2A	BDKRB2	0.8354005520686607	
DRD4	LPAR1	0.8252219011119977	
ADRB2	RAB5A	0.8129393082389929	
P2RY12	rs6787801	0.99	
PTGIR	GPHB5	0.8407682499807351	
ACE	rs4341	0.99	
DRD4	TAS2R7	0.8354005520686607	
DRD1	GPR20	0.8252219011119977	
HTR2B	P2RY2	0.8354005520686607	
DRD3	CCR9	0.8354005520686607	
ADRA1D	P2RY1	0.8354005520686607	
P2RY12	MTNR1B	0.8252219011119977	
HTR1A	NMU	0.8407682499807351	
CYP2C9	rs1057910	0.99	
ADRB2	GNG2	0.8526462282435747	
ADRA1D	BDKRB2	0.8354005520686607	
SLCO1B1	rs113681054	0.99	
PTGIR	MC1R	0.8252219011119977	
HTR1B	APLN	0.8407682499807351	
ADRB2	NPS	0.8407682499807351	
ADRB2	HGS	0.863443159858049	
DRD2	ADRA2C	0.8252219011119977	
ADRA1D	GNA11	0.8595571341704282	
ADRA2A	PPBP	0.833320481754769	
HTR1B	MCHR2	0.8354005520686607	
DRD2	rs1799732	0.99	
DRD5	CRHR1	0.8354005520686607	
PTGIR	GPR32	0.8252219011119977	
HTR2A	BDKRB1	0.8354005520686607	
DRD3	ADRA2A	0.8252219011119977	
DRD3	S1PR3	0.8252219011119977	
ADRA1B	GRP	0.8407682499807351	
DRD1	TAAR1	0.8354005520686607	
HTR1D	TAS2R42	0.8354005520686607	
HTR2B	FFAR1	0.8354005520686607	
AGTR1	FFAR1	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*2, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
DRD4	TAS2R3	0.8354005520686607	
DRD3	SSTR3	0.8354005520686607	
ADRA1A	LPAR2	0.8252219011119977	
SLC22A1	rs622342	0.99	
Carvedilol	NPPB	1	
AGTR1	MT-RNR2	0.8407682499807351	
ADRB2	P2RY11	0.8252219011119977	
ADRB2	PTH1R	0.8354005520686607	
ADRB2	ITSN1	0.8664623807565615	
DRD4	CXCR1	0.8354005520686607	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*29, CYP2D6*3, CYP2D6*31, CYP2D6*35, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6, CYP2D6*9	0.99	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*2, CYP2C9*3	0.99	
DRD5	GPHB5	0.8407682499807351	
CYP3A4	rs4986910	0.9509900498999999	
VEGFA	rs35864111	0.99	
HTR1A	GABBR1	0.8252219011119977	
DRD4	GRM7	0.8252219011119977	
ADRB2	SYT1	0.863443159858049	
AGTR1	GNRHR	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KCNMA1	0.818984274335209	
HTR1A	CXCL12	0.8407682499807351	
ADRB2	FCHO2	0.8583026292860755	
HTR1D	CCR7	0.8354005520686607	
DRD4	HTR5A	0.8354005520686607	
DRD5	GPR150	0.8252219011119977	
CYP3A4	rs4646437	0.9509900498999999	
GJA1	GJA1	0.8533279570218225	
ADRA1B	CYSLTR1	0.8252219011119977	
DRD4	ADRA2C	0.8252219011119977	
HTR1B	S1PR5	0.8252219011119977	
PPARG	MED25	0.7989062580087279	
CYP1A2	CYP1A2*1A, CYP1A2*1F	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.818984274335209	
DRD5	GPR32	0.8252219011119977	
DRD3	CXCL12	0.8407682499807351	
DRD5	VIPR2	0.8252219011119977	
Fosinopril	ACE	1	
HTR1B	GPR17	0.8252219011119977	
ADRB2	FCHO1	0.8583026292860755	
CYP3A4	rs12721627	0.99	
ADRB2	CALCA	0.8407682499807351	
SLC22A1	rs2282143	0.99	
ADRA1D	GPR4	0.8354005520686607	
P2RY12	TAS2R45	0.8354005520686607	
P2RY12	ADRA2C	0.8252219011119977	
DRD1	PTGER4	0.8252219011119977	
HTR1D	TAS2R43	0.8354005520686607	
AGTR1	GCGR	0.8354005520686607	
ADRB2	GIP	0.8407682499807351	
Pramipexole	DRD5	1	
SLCO1B1	SLCO1B1*15, SLCO1B1*1A, SLCO1B1*1B, SLCO1B1*5	0.99	
P2RY12	C3	0.8407682499807351	
HTR1B	CCL23	0.8407682499807351	
DRD2	rs2734842	0.99	
HTR1A	rs878567	0.99	
Carvedilol	ADRA1D	1	
SLC22A1	SLC22A1*1, SLC22A1*2, SLC22A1*3, SLC22A1*4, SLC22A1*5, SLC22A1*6	0.99	
P2RY12	ANXA1	0.8459813396079446	
HTR1D	ANXA1	0.8459813396079446	
DRD2	HTR1D	0.8354005520686607	
ADRA1B	GPR17	0.8252219011119977	
ADRB2	UBC	0.863443159858049	
ABCB1	rs2229109	0.99	
AGTR1	HTR2B	0.8354005520686607	
DRD4	OXGR1	0.8354005520686607	
DRD4	S1PR1	0.8252219011119977	
ADRA1B	GCG	0.8407682499807351	
P2RY12	PENK	0.8407682499807351	
HTR2A	CCKBR	0.8354005520686607	
ADRA1B	P2RY1	0.8354005520686607	
PTGIR	CRH	0.8407682499807351	
ADRA1B	LPAR4	0.8354005520686607	
DRD3	GAL	0.833320481754769	
HTR1D	GPER1	0.8354005520686607	
HTR2C	LPAR6	0.8354005520686607	
DRD2	BDKRB2	0.8354005520686607	
DRD4	NMS	0.8407682499807351	
ADRB2	HTR6	0.8354005520686607	
CYP2C9	rs7089580	0.99	
ADRA1D	UTS2	0.8407682499807351	
HTR1A	APLN	0.8407682499807351	
DRD4	GRM8	0.8252219011119977	
HTR2A	NMUR2	0.8421959353175904	
DRD5	GPR83	0.8252219011119977	
ADRA1D	NPFFR2	0.8252219011119977	
L-Tyrosine	TAT	1	
CYP3A4	rs4646440	0.8775210229989678	
P2RY12	TAS2R14	0.8354005520686607	
AGTR1	EDN2	0.833320481754769	
DRD2	HCAR1	0.8354005520686607	
NDUFC2	HADH	0.8372883840480309	
HTR2C	XCL1	0.833320481754769	
HTR1A	GALR2	0.8252219011119977	
HTR1D	NPB	0.8407682499807351	
HTR1D	NPY	0.833320481754769	
DRD5	CALCRL	0.8421959353175904	
ADRA1A	XCL1	0.833320481754769	
DRD2	MTNR1B	0.8252219011119977	
DRD3	GALR3	0.8252219011119977	
HTR2C	PROK1	0.8407682499807351	
DRD2	FPR1	0.8354005520686607	
ADRB2	FNBP1	0.863443159858049	
ADRA1D	GRM5	0.8354005520686607	
HTR1A	CXCR1	0.8354005520686607	
HTR1B	HRH3	0.8354005520686607	
ADRA1B	APP	0.833320481754769	
VEGFA	SHB	0.8665296810183852	
HTR1B	CASR	0.8354005520686607	
DRD3	TAS2R10	0.8354005520686607	
Carvedilol	CYP2D6	1	
ADRA1A	NPS	0.8407682499807351	
P2RY12	NPY5R	0.8252219011119977	
DRD5	TSHR	0.8354005520686607	
ADRB1	HTR7	0.8354005520686607	
ADRA1D	P2RY2	0.8354005520686607	
ADRA2A	rs1800544	0.99	
DRD2	TAS2R45	0.8354005520686607	
AGTR1	GPR17	0.8354005520686607	
ADRA2C	GNB1	0.8626329038096527	
DRD3	CXCL11	0.8407682499807351	
P2RY12	CCR8	0.8354005520686607	
HTR2B	GAST	0.8407682499807351	
VEGFA	PXN	0.8532543843767528	
ADRA1A	F2RL1	0.8252219011119977	
DRD2	GAL	0.833320481754769	
HTR2B	GNRHR2	0.8354005520686607	
HTR2B	NTS	0.833320481754769	
HTR1B	TAS2R7	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RANBP3	0.818984274335209	
CYP3A	rs12721627	0.9320653479069899	
ADRA2A	APP	0.833320481754769	
DRD5	MC2R	0.8252219011119977	
HTR2B	GPR4	0.8354005520686607	
DRD2	TAS2R16	0.8354005520686607	
ADRB2	TSHB	0.8407682499807351	
DRD2	GALR1	0.8252219011119977	
AGTR1	UTS2B	0.8407682499807351	
DRD4	CXCR4	0.8354005520686607	
ADRA1A	GPR68	0.8354005520686607	
P2RY12	AGT	0.8407682499807351	
DRD3	BDKRB1	0.8354005520686607	
HTR1B	GALR2	0.8252219011119977	
DRD3	SAA1	0.8407682499807351	
ADRA1D	KISS1R	0.8252219011119977	
HTR1B	NPY1R	0.8252219011119977	
HTR1A	TAS2R43	0.8354005520686607	
HTR2A	PROKR2	0.8354005520686607	
ADRA1A	P2RY2	0.8354005520686607	
