SCN5A	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ACE	Ventricular tachycardia, catecholaminergic polymorphic, 2	
REN	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB1	Ventricular tachycardia, catecholaminergic polymorphic, 2	
GNAI2	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB2	Ventricular tachycardia, catecholaminergic polymorphic, 2	
AGT	Ventricular tachycardia, catecholaminergic polymorphic, 2	
EDN1	Ventricular tachycardia, catecholaminergic polymorphic, 2	
ADRB2	LDLR	0.863443159858049	
ADRB3	RAMP3	0.8421959353175904	
ABCB1	rs3213619	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPATA31A7	0.818984274335209	
ADRA1B	GNRH2	0.8407682499807351	
ADRA1A	OPN4	0.8354005520686607	
APOC1	rs7412	0.8107944315918569	
ADRB2	GPR84	0.8252219011119977	
ADRB1	INSL3	0.8407682499807351	
ADRB2	PTGDR	0.8252219011119977	
ADRA1B	P2RY11	0.8252219011119977	
ADRA1A	PTAFR	0.8252219011119977	
SLC22A1	rs594709	0.99	
ADRA1D	NPS	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.818984274335209	
ADRB3	RAMP2	0.8421959353175904	
ADRB3	GLP2R	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DGKG	0.818984274335209	
ADRA2C	ANXA1	0.8407682499807351	
ADRB3	GPHA2	0.8407682499807351	
ADRB2	AP2A2	0.8669217489920482	
ADRB2	GLP2R	0.8354005520686607	
CYP3A4	rs4646437	0.99	
ADRB2	PTGIR	0.8354005520686607	
ADRA1A	HRH1	0.8354005520686607	
CYP3A4	rs3735451	0.99	
ADRA2C	PMCH	0.833320481754769	
ADRA1B	OXTR	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PHC3	0.818984274335209	
ADRA1D	NTSR2	0.8252219011119977	
ADRA1A	PROKR2	0.8354005520686607	
ADRB2	AGFG1	0.863443159858049	
ADRA1D	PTGFR	0.8252219011119977	
ADRB2	SH3GL2	0.865611713402943	
ADRA1B	UTS2R	0.8354005520686607	
ADRA1D	TBXA2R	0.852724204446584	
ADRA1D	GPRC6A	0.8252219011119977	
ADRB3	CALCB	0.8407682499807351	
ADRB2	SLC2A8	0.863443159858049	
ADRA1B	GHRL	0.8407682499807351	
ADRA1A	LTB4R2	0.8252219011119977	
ADRB3	GPR84	0.8252219011119977	
ADRB2	RXFP2	0.8354005520686607	
ADRA1D	TAC3	0.833320481754769	
ADRB1	PTGIR	0.8354005520686607	
ADRA2C	GNG2	0.8626329038096527	
ABCB1	rs4148738	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CACNA1I	0.818984274335209	
CYP2C9	rs28371685	0.99	
ADRA1A	F2R	0.8252219011119977	
ADRB1	GLP2R	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC25A13	0.818984274335209	
ADRB2	STAM2	0.863443159858049	
ADRB1	GIP	0.8407682499807351	
ABCB1	rs7787082	0.99	
ADRA1B	P2RY10	0.8354005520686607	
CYP3A4	CYP3A4*1, CYP3A4*4	0.99	
ADRA1B	XCR1	0.8252219011119977	
ADRB1	RXFP2	0.8354005520686607	
ADRA1B	GAST	0.8407682499807351	
ADRB3	PTGER4	0.8252219011119977	
ADRB2	POMC	0.833320481754769	
CYP3A4	rs2246709	0.9135172474836407	
ADRB2	DNAJC6	0.851137711762708	
ADRB1	MC5R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PLAG1	0.818984274335209	
ADRA1B	GNRH1	0.8407682499807351	
ADRB2	TGOLN2	0.863443159858049	
ABCB1	rs4148740	0.99	
ADRB3	GCG	0.849809014912932	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TSC22D1	0.818984274335209	
ADRB1	NPS	0.8407682499807351	
ADRA1B	CHRM1	0.8354005520686607	
ADRA1B	GNA15	0.8595571341704282	
ADRA2B	GNAZ	0.8567933402497072	
ABCB1	rs10276036	0.99	
ADRB2	WNT5A	0.863443159858049	
ADRA1D	PTGER1	0.8252219011119977	
ADRA2A	POMC	0.833320481754769	
ADRA1D	TAC1	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HPX	0.818984274335209	
ADRA2A	GNAT3	0.8497082254156562	
ADRA1A	NMUR2	0.8421959353175904	
ADRA1D	NMU	0.8407682499807351	
CYP3A4	rs2242480	0.9509900498999999	
Lisinopril	ACE2	1	
ADRA1A	EDN3	0.833320481754769	
ADRB2	APOB	0.863443159858049	
ADRA1A	GRM1	0.8354005520686607	
ADRB2	TAAR1	0.8354005520686607	
ADRB2	EPN1	0.863443159858049	
ADRA1A	NTSR1	0.8252219011119977	
ADRB3	CRHR1	0.8354005520686607	
TNF	MAP3K14	0.8228150578411493	
ADRA1D	LTB4R2	0.8252219011119977	
ADRA1A	NMUR1	0.8354005520686607	
ADRA2C	SAA1	0.833320481754769	
ADRA1B	EDNRA	0.8252219011119977	
ADRB2	MC1R	0.8252219011119977	
ADRA1B	LTB4R	0.8252219011119977	
CYP1A2	rs72547517	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR2T6	0.818984274335209	
ADRB2	CBL	0.863443159858049	
ADRB3	TAAR1	0.8354005520686607	
CYP1A2	rs4646425	0.99	
TNF	BIRC2	0.8593451483108672	
ADRA1B	TBXA2R	0.852724204446584	
ADRB2	CALCRL	0.8421959353175904	
ADRA1D	BDKRB1	0.8354005520686607	
ADRA2A	PMCH	0.833320481754769	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.8775210229989678	
ADRA1A	NTSR2	0.8252219011119977	
ADRB3	GPR83	0.8252219011119977	
ADRA2B	GNAI2	0.8497082254156562	
ADRB1	GHRHR	0.8354005520686607	
ADRB3	HRH2	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KRT9	0.8638247395845513	
ADRA1B	HTR2B	0.8354005520686607	
ADRA1B	NMU	0.8407682499807351	
ADRA1A	QRFP	0.833320481754769	
ADRB2	AVPR2	0.865531144445342	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCED1B	0.818984274335209	
ADRA1A	CCL23	0.833320481754769	
ADRB2	ACTR2	0.8628338709774962	
Epinephrine	ADRA2A	1	
ADRB2	SH3KBP1	0.863443159858049	
ADRB2	MC2R	0.8252219011119977	
ABCB1	rs72552784	0.99	
ADRA2A	GNG2	0.8626329038096527	
ADRA1A	FFAR1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CLCA2	0.818984274335209	
ADRB2	NECAP1	0.8664623807565615	
ADRB1	PTH2R	0.8354005520686607	
Epinephrine	SLC22A1	1	
TNF	BAG4	0.852724204446584	
ADRA1B	F2RL1	0.8252219011119977	
ADRB3	INSL3	0.8407682499807351	
ADRA1D	F2RL1	0.8252219011119977	
rs4987161	CYP3A	0.9801	
ADRB1	LHB	0.8407682499807351	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.8775210229989678	
CYP2C9	rs9332096	0.99	
ADRA1B	HCRTR1	0.8252219011119977	
ADRA1A	AVPR1A	0.8354005520686607	
ADRB3	GIP	0.8407682499807351	
ADRB1	rs1801253	0.99	
CYP1A2	MGST3	0.792109822701367	
CYP2C9	CYP2C9*1, CYP2C9*3, CYP2C9*8	0.99	
ADRB3	HTR7	0.8354005520686607	
ADRB2	CRH	0.8407682499807351	
ADRA1D	UTS2B	0.8407682499807351	
ADRB3	LHCGR	0.8354005520686607	
ADRB3	ADM	0.8407682499807351	
rs12721627	CYP3A4	0.92274469442792	
ADRA1A	APP	0.833320481754769	
ADRA1A	TAC3	0.833320481754769	
CYP3A4	rs3735451	0.9135172474836407	
CYP3A4	rs4646437	0.9135172474836407	
CYP3A4	rs35599367	0.8775210229989678	
ADRB1	GPR20	0.8252219011119977	
CYP1A2	rs2470890	0.99	
GNAS	rs62205366	0.8463981622192073	
ADRA1B	EDN3	0.833320481754769	
ADRA1B	PROKR1	0.8354005520686607	
CYP3A4	rs4646440	0.99	
ADRB2	LHB	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PEG3	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.818984274335209	
ACE2	rs2106809	0.99	
CYP2C9	rs4917639	0.99	
rs1800544	DRD4	0.8291463109497464	
ADRB3	PTH	0.8407682499807351	
rs4987161	CYP3A4	0.8863848717161291	
ADRB2	IAPP	0.8407682499807351	
ADRA1D	GNRHR2	0.8354005520686607	
CYP3A4	rs2242480	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HP	0.818984274335209	
ADRA1B	TACR1	0.8252219011119977	
ADRB1	CALCB	0.8407682499807351	
ADRA2B	GNAI3	0.8497082254156562	
ADRB1	TSHR	0.8354005520686607	
ADRA1D	XCR1	0.8252219011119977	
ADRB2	RAB5A	0.8129393082389929	
ADRB3	PTH1R	0.8354005520686607	
CYP3A	rs2740574	0.9320653479069899	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	refseq:NP_001914	0.818984274335209	
TNF	TNF	0.8645653070050747	
CYP3A4	rs35599367	0.9509900498999999	
ADRB2	SNX9	0.863443159858049	
ACE	rs4341	0.99	
ADRB2	PIK3C2A	0.8441288359160942	
SLC22A5	rs2631372	0.99	
ADRA1A	TACR1	0.8252219011119977	
CYP3A	rs2740574	0.9702989999999999	
ADRA1D	P2RY1	0.8354005520686607	
ADRA1B	NMB	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	AMPD3	0.818984274335209	
CYP2C9	rs1057910	0.99	
ADRB2	BIN1	0.863443159858049	
ADRA1B	CCL23	0.833320481754769	
ADRA1B	NPFFR2	0.8252219011119977	
ADRA1B	KNG1	0.8407682499807351	
ADRB2	GNG2	0.8526462282435747	
CYP3A4	MGST3	0.792109822701367	
ADRA1A	F2RL2	0.8252219011119977	
ADRA1D	BDKRB2	0.8354005520686607	
ADRA2A	MT-RNR2	0.8407682499807351	
ADRA2C	ADRA2B	0.8459813396079446	
ADRB2	NPS	0.8407682499807351	
ADRB2	HGS	0.863443159858049	
ABCB1	rs17160359	0.99	
ADRA1D	GNA11	0.8595571341704282	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	THRAP3	0.818984274335209	
ADRA1A	NPFFR2	0.8252219011119977	
ADRB3	GPBAR1	0.8354005520686607	
ADRA2A	PPBP	0.833320481754769	
ADRB2	VAMP8	0.863443159858049	
ADRA1D	LPAR4	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CROT	0.818984274335209	
ADRA1A	TAC1	0.833320481754769	
SLC22A1	rs683369	0.99	
ADRB3	HTR4	0.8354005520686607	
ADRB2	ADRB2	0.8660747677153173	
